Dato,URI CKAN,URI origen,Método extracción,Script Procesamiento,Periodicidad,Notas adicionales
N13: Titulaciones - oferta de grado,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/8f913bd2-092d-4916-b732-f2a336bd29db,http://www.ugr.es/pages/estudios/grado,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:masteres,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/f3524e52-99e8-4214-a06b-0c19dc065e29,http://masteres.ugr.es/pages/alfabetico,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:formacion de profesorado,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/37132b47-951d-440d-a345-c3155a7bbf81,http://escuelaposgrado.ugr.es/pages/masteres_oficiales/oferta_formativa/profesorado_secundaria,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:masteres propios,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/5833cc32-324f-4354-b3d2-1c0cc472ba0e,http://escuelaposgrado.ugr.es/pages/titulos_propios/oferta_formativa/masteres_propios,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:cursos complementarios,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/7549e5d8-b30a-4fbb-806b-0bb860b0fdab,http://escuelaposgrado.ugr.es/pages/titulos_propios/oferta_formativa/cursos_complementarios,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:expertos,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/a9ffee15-7590-4407-87f2-e622f5adb667,http://escuelaposgrado.ugr.es/pages/titulos_propios/oferta_formativa/expertos_propios,Desde la propia web,No (manual),365,
N13: Titulaciones - oferta de posgrado:doctorado,http://opendata.ugr.es/dataset/titulaciones-14-15/resource/4feb3c28-36c1-4a22-b76b-2a48be46ace6,http://escuelaposgrado.ugr.es/doctorado/oferta_programas_doctorado/oferta,Desde la propia web,No (manual),365,
N14: Demanda académica,http://opendata.ugr.es/dataset/demanda-academica-14,http://secretariageneral.ugr.es/pages/memorias/academica/20132014/estadistica/_doc/4,PDF,software Tabula http://tabula.technology/,365,
N7: Académico - duración media de estudios(hasta 2011),http://opendata.ugr.es/dataset/academico/resource/b8a65ae8-4aa9-4910-8949-505ec649a48e,http://academica.ugr.es/pages/servicio-de-estadistica/duracion_media_estudios,PDF,software Tabula http://tabula.technology/,365,
N7: Académico - número de créditos por rama,http://opendata.ugr.es/dataset/academico/resource/0a22981d-dfa7-472b-b4a6-c1c6adf516d5,http://academica.ugr.es/pages/servicio-de-estadistica/tasas/namediodecreditosporramas20122013,PDF,software Tabula http://tabula.technology/,365,
N7: Académico - tasa de rendimiento_ exito_ eval,http://opendata.ugr.es/dataset/academico/resource/403534ce-9135-4d60-9f8a-0ad035aceaf1,http://academica.ugr.es/pages/servicio-de-estadistica/tasas/1ay2aciclogradoymastertasaderendimientoexitoyevaluacion20122013,PDF,software Tabula http://tabula.technology/,365,
Fila 57: Jusitificantes de gasto,http://opendata.ugr.es/dataset/justificantes-de-gasto-ugr,Manuel Pedro Bolivar: Gerencia de la UGR (Oficina económica),Petici�n directa / XLS,Script: https://github.com/oslugr/datos-ugr/blob/master/scripts/xls2csvDTsubvencionesYpatrimonio.pl,365,Script para borrar NIF: https://github.com/oslugr/datos-ugr/blob/master/scripts/deleteLine.pl
Fila 18: Presupuesto 2014 - desglose de gastos,http://opendata.ugr.es/dataset/presupuesto-ugr-2014-estado-de-gastos,Jose Sanchez Rodrigo_ Vicegerencia de asuntos económicos_ http://gerencia.ugr.es/pages/presupuestos/2014/presupuestoejercicio2014,Petici�n directa / XLS,No (manual),-,
N12: Bandas salariales,http://opendata.ugr.es/dataset/bandas-salariales, http://gerencia.ugr.es/habilitacion/pages/legislacion/tabla_retribuciones,PDF XLS y DOC,Script: https://github.com/oslugr/datos-ugr/blob/master/scripts/retribucionesFromXlsToCsv.pl,-,Cuando se use este script hay que coger el .yml que est� en el mismo directorio porque son constantes.
- Información salarial,http://opendata.ugr.es/dataset/informacion-salarial,http://gerencia.ugr.es/pages/presupuestos/2014/presupuestoejercicio2014,PDF,software Tabula http://tabula.technology/,365,"�scar lo hizo as�, aunque tard� mucho: exportar im�genes del PDF, pasar a tabla y luego usar un programa, ""tesseract"" (OCR) para exportar las im�genes a texto"
- Empleo público,http://opendata.ugr.es/dataset/empleo-publico,"http://serviciopas.ugr.es/pages/oferta_empleo - http://serviciopdi.ugr.es (concursos de acceso, concursos p�blicos)","Enlaces en tablas, PDF e informaci�n desde la propia web",---,-,
N20: Becas y ayudas,http://opendata.ugr.es/dataset/becas-y-ayudas,enlaces en opendata,-,-,-,
N21: Investigación,http://opendata.ugr.es/dataset/investigacion - http://investigacion.ugr.es/ugrinvestiga/pages/datasets,http://investigacion.ugr.es/ugrinvestiga/pages/cifras - http://investigacion.ugr.es/ugrinvestiga/pages/datasets ,"PDF, XLS, tablas en web",-,-,
