CONCEPTO,TIPO,CONCEPTO,IMPORTES
PERSONAL DOCENTE E INVESTIGADOR,FUNCIONARIO,Retribuciones Básicas y Complementarias,109045724
PERSONAL DOCENTE E INVESTIGADOR,FUNCIONARIO,Trienios,10021817
PERSONAL DOCENTE E INVESTIGADOR,FUNCIONARIO,Indemnización por Residencia,801317
PERSONAL DOCENTE E INVESTIGADOR,FUNCIONARIO,Cuota Patronal de la Seguridad Social,1496226
PERSONAL DOCENTE E INVESTIGADOR,FUNCIONARIO,Complemento por Acción Social a prestación I.T.,-250000
PERSONAL DOCENTE E INVESTIGADOR,CONTRATADO,Retribuciones Básicas y Complementarias,25100038
PERSONAL DOCENTE E INVESTIGADOR,CONTRATADO,Trienios,1823641
PERSONAL DOCENTE E INVESTIGADOR,CONTRATADO,Indemnización por Residencia,1064565
PERSONAL DOCENTE E INVESTIGADOR,CONTRATADO,Cuota Patronal de la Seguridad Social,7452131
PERSONAL DOCENTE E INVESTIGADOR,CONTRATADO,Complemento por Acción Social a prestación I.T.,-40000
PERSONAL DE ADMINISTRACION Y SERVICIOS,FUNCIONARIO,Retribuciones Básicas y Complementarias,30124511
PERSONAL DE ADMINISTRACION Y SERVICIOS,FUNCIONARIO,Trienios,2102118
PERSONAL DE ADMINISTRACION Y SERVICIOS,FUNCIONARIO,Indemnización por Residencia,178672
PERSONAL DE ADMINISTRACION Y SERVICIOS,FUNCIONARIO,Cuota Patronal de la Seguridad Social,8228301
PERSONAL DE ADMINISTRACION Y SERVICIOS,FUNCIONARIO,Complemento por Acción Social a prestación I.T.,-100000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,"Sueldo, Trienios y Complementos",37910462
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Indemnización por Residencia,249043
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Cuota Patronal de la Seguridad Social,12837127
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Complemento por Acción Social a prestación I.T.,-410000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Cargos Académicos,2991204
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Consejo Social,55195
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Tribunales Pruebas de Acceso,300000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Coordinación Pruebas de Acceso,15000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Productividad y Artículo 32 Estatutos,3000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Personal de Colaboración Social INEM,300000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Plan de Formación del PAS,200000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Plan de Acción Social,869331
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Indemnización e incentivos por Jubilación,4300000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Beneficios en Precios Públicos Personal Universidad,840000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Complemento a la Prestación por I.T.,800000
PERSONAL DE ADMINISTRACION Y SERVICIOS,LABORAL,Estimación Reducción Ley 3/2012 Junta Andalucía,-11000000
