PERSONAL,PLANTILLA,% ,,,
Docente funcionario (Régimen Gral.Seg.Social.),7290266,22.65,,,
Docente Interino,121242,30.7,,,
Docente Contratado Tiempo Completo,20261939,31.5,,,
Docente Contratado Tiempo Parcial,3334105,33.1,,,
Docente Contratado LRU,0,30.7,,,
Residencia Docente Contratado,1147317,30.7,,,
PAS Funcionario,29347896,25.2,,,
PAS Funcionario Interino,2089932,30.7,,,
Trienios PAS Funcionario,2189192,25.2,,,
Residencia PAS Funcionario,191814,25.2,,,
PAS Laboral,35943942,34.1,,,
Residencia PAS Laboral,185493,34.1,,,
