CATEGORÍA,TIPO,SUELDO (INDIVIDUAL MENSUAL),C.DESTINO Ó C.SING.CATEG. (INDIVIDUAL MENSUAL),C.DOCTOR Ó C.ESPECÍFICO (INDIVIDUAL MENSUAL),PLANTILLA,SUELDO (TOTAL ANUAL),C.DESTINO Ó C.SING.CATEG. (TOTAL ANUAL),C.DOCTOR Ó C.ESPECÍFICO (TOTAL ANUAL),INDIVIDUAL (TOTAL ANUAL),TOTAL,,,
Profesor Colaborador,TC,942.69,1064.97,0,144,2103212.16,1840268.16,0,27385.28,3943480.32,,,
Profesor Visitante,TC,887.22,597.47,0,16,217856.32,114714.24,0,20785.66,332570.56,,,
Profesor Asociado,2,110.91,125.29,0,3,5155.14,4510.44,0,3221.86,9665.58,,,
Profesor Asociado,3,166.36,187.94,0,52,127985.52,117274.56,0,4716.54,245260.08,,,
Profesor Asociado,4,221.81,250.58,0,43,147774.66,129299.28,0,6443.58,277073.94,,,
Profesor Asociado,5,277.26,313.23,0,37,158943.12,139074.12,0,8054.52,298017.24,,,
Profesor Asociado,6,266.17,300.7,0,251,1035108.94,905708.4,0,7732.34,1940817.34,,,
Profesor Ayudante Doctor,TC,720.88,814.39,118.1,86,980848.92,840450.48,121879.2,22595.1,1943178.6,,,
Profesor Ayudante,TC,720.88,814.39,0,1,11169.02,9772.68,0,20941.7,20941.7,,,
Profesor Contratado Doctor,TC,1109.05,1252.91,0,430,7388750.2,6465015.6,0,32218.06,13853765.8,,,
Asociados Ciencias de la Salud,3,266.7,0,0,176,563270.4,0,0,3200.4,563270.4,,,
Asociados Extranjeros,TC,1016.93,683.12,112.39,1,15673.42,8197.44,1348.68,25219.54,25219.54,,,
Profesor Laboral Permanente,TC,1525.84,914.16,104.67,2,39357.6,21939.84,2512.08,31904.76,63809.52,,,
Profesores de Educación Física,TC,1512.66,405.9,0,4,84708.96,19483.2,0,26048.04,104192.16,,,
Profesorado EU Enfermería Ceuta,No especificado,No especificado,No especificado,No especificado,4,No especificado,No especificado,No especificado,No especificado,180000,,,
Complemento Autonómico,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,705952.72,,,
Profesorado sustituto interino,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,950000,,,
Previsión actuaciones Personal Docente e Investigador Contratado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,750000,,,
