CATEGORÍA,TIPO,SUELDO (INDIVIDUAL MENSUAL),COMPL. DEST. (INDIVIDUAL MENSUAL),COMPL. ESPECIF. (INDIVIDUAL MENSUAL),TOTAL INDIVIDUAL MENSUAL,PLANTILLA,SUELDO (TOTAL ANUAL),COMPLEMENTO DESTINO (TOTAL ANUAL),COMPLEMENTO ESPECIFICO (TOTAL ANUAL),TOTAL INDIVIDUAL (TOTAL ANUAL)
Catedrático de Universidad,TC,1109.05,868.93,979.71,604775.28,580,8512845.6,7055711.6,7955245.2,40558.28
Titular de Universidad,TC,1109.05,795.85,457.06,1131698.7,1185,17392624.2,13203151.5,7582625.4,32218.06
Titular de Universidad (Régimen Gral.Seg.Social.),TC,1109.05,795.85,457.06,193869.06,203,2979495.96,2261805.7,1298964.52,32218.06
Titular de Universidad ,TP,480.44,542.76,,651.31,1,7134.01,7598.65,0,14732.65
Catedrático de Escuela Universitaria,TC,1109.05,795.85,457.06,30560.64,32,469674.24,356540.8,204762.88,32218.06
Titular de Escuela Universitaria,TC,1109.05,698.2,282.19,80432.64,96,1409022.72,938380.8,379263.36,28402.78
Titular de Escuela Universitaria,TP,480.44,424.7,,509.65,1,7134.01,5945.87,0,13079.87
Titular de Universidad Interino,TC,1109.05,795.85,457.06,1910.04,2,29354.64,22283.8,12797.68,32218.06
Titular de Escuela Universitaria Interino,TC,1109.05,698.2,282.19,1675.68,2,29354.64,19549.6,7901.32,28402.78
Profesorado Emérito,TC,2267.56,0,0,,10,272107.2,0,0,27210.72
Catedrático de Enseñanza Secundaria y similar en comisión de servicio,TC,1109.05,698.19,564.22,0, -      ,0,0,0,0
Profesor de Enseñanza Secundaria y similar en comisión de servicio,TC,1109.05,582.92,564.22,4197.02,6,88063.92,48965.28,47394.48,30737.28
Maestría Industrial y similar en comisión de servicio,TC,958.98,582.92,564.22,2098.51,3,38629.44,24482.64,23697.24,28936.44
