CATEGORÍA,GRUPO,SUELDO (INDIVIDUAL MENSUAL),COMPL. CATEGORÍA (INDIVIDUAL MENSUAL),COMPL. PRODUCT. (INDIVIDUAL ANUAL),COMPL. HOMOLOG. (INDIVIDUAL ANUAL),COMPL. VESTUARIO (INDIVIDUAL ANUAL),TOTAL ANUAL INDIVIDUAL,PLANTILLA,TOTAL ANUAL
T.S. Deportes,I,1525.84,914.26,4270.73,932.67,252.67,39314.79,4,157259.16
T.S. Prensa e información,I,1525.84,914.26,4270.73,932.67,252.67,39314.79,2,78629.57
T.S. Apoyo a la docencia e investigación,I,1525.84,1080.63,4270.73,932.67,252.67,41311.23,9,371801.03
Titulado Superior,I,1525.84,914.26,3630.32,932.67,252.67,38674.38,11,425418.13
T.S. Actividades culturales,I,1525.84,914.26,4270.73,932.67,252.67,39314.79,1,39314.79
Titulado de Grado Medio,II,1285.57,728.3,3630.32,932.67,252.67,32838.75,12,394064.95
T.G.M. Apoyo a la docencia e investigación,II,1285.57,876.42,3630.32,932.67,336.9,34700.42,28,971611.69
T.G.M. Deportes,II,1285.57,728.3,3630.32,932.67,336.9,32922.98,6,197537.87
T.G.M. Prevensión,II,1285.57,876.42,3630.32,932.67,252.67,34616.19,1,34616.19
Trabajador social,II,1285.57,728.3,3630.32,932.67,252.67,32838.75,3,98516.24
T.E. Deportes,III,1124.57,453.93,2775.77,932.67,336.9,26361.05,2,52722.1
T.E. Prensa e Información,III,1124.57,453.93,2775.77,932.67,252.67,26276.82,2,52553.63
Conductor mecánico,III,1124.57,567.9,2775.77,932.67,505.34,27897.13,5,139485.66
Delineante,III,1124.57,453.93,2775.77,932.67,252.67,26276.82,1,26276.82
Encargado equipo conserjería,III,1124.57,617.84,3209.97,932.67,505.34,28930.61,41,1186155.07
Encargado equipo,III,1124.57,731.83,3209.97,932.67,505.34,30298.49,20,605969.83
Interprete/informador,III,1124.57,453.93,2775.77,932.67,252.67,26276.82,3,78830.45
T.E.S.T.O.E.M.,III,1124.57,567.9,2775.77,932.67,505.34,27897.13,67,1869107.81
T.E. Telecomunicaciones,III,1124.57,453.93,2775.77,932.67,505.34,26529.49,2,53058.98
"T.E. Biblioteca,archivo y museos",III,1124.57,453.93,2775.77,932.67,336.9,26361.05,118,3110603.63
T.E.Laboratorio,III,1124.57,567.9,2775.77,932.67,336.9,27728.69,100,2772868.77
T.E. Medios audiovisuales,III,1124.57,453.93,2775.77,932.67,336.9,26361.05,3,79083.14
T.E. Almacén,III,1124.57,453.93,2775.77,932.67,336.9,26361.05,2,52722.1
T.E. Prevención riesgos laborales,III,1124.57,567.9,2775.77,932.67,252.67,27644.46,3,82933.37
T.E. Administración (a extinguir),III,1124.57,453.93,2775.77,932.67,252.67,26276.82,5,131384.08
T.E.Actividades Culturales,III,1124.57,453.93,2775.77,932.67,252.67,26276.82,1,26276.82
T.E. Hostelería,III,1124.57,453.93,2775.77,932.67,505.34,26529.49,13,344883.39
Técnico Especialista,III,1124.57,453.93,2775.77,932.67,252.67,26276.82,74,1944484.68
T.A. Servicio conserjería,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,240,5396246.76
T.A. Servicio limpieza,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,157,3530044.75
T.A.S.T.O.E.M.,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,61,1371546.05
T.A. Instalaciones deportivas,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,23,517140.31
T.A. Hostelería,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,52,1169186.8
T.A. Laboratorio,IV,983.76,309.37,2577.51,932.67,336.9,22315.92,8,178527.34
T.A. Seguridad (a extinguir),IV,983.76,309.37,2577.51,932.67,505.34,22484.36,3,67453.08
T.A. Administración,IV,983.76,309.37,2577.51,932.67,505.34,22484.36,2,44968.72
T.A. Almacén,IV,983.76,309.37,2577.51,932.67,336.9,22315.92,1,22315.92
Modelo en vivo,IV,983.76,309.37,No especificado,932.67,336.9,19738.41,4,78953.63
Expendedores de tickes,IV,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,2,14778.37
TRIENIOS CONSOLIDADOS,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,2572223.65
PREVISIÓN DE TRIENIOS DE NUEVO RECONOCIMIENTO,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,89441.32
ESTIMACIÓN COSTE C.P.N.A. P/2015,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,500000
PERSONAL SUSTITUCIONES,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,4500000
SERVICIOS EXTRAORDINARIOS,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,350000
DIFERENCIAS  RETRIBUCIONES PAS LABORAL,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,216061.25
PREVISION ACTUACIONES PAS LABORAL,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,No corresponde,450000
