PERSONAL,PLANTILLA,% ,TOTAL
Docente funcionario (Régimen Gral.Seg.Social.),7.493.772,"22,65",1.697.339
Docente Interino,122.454,"30,70",37.593
Docente Contratado Tiempo Completo,22.344.399,"31,50",7.038.486
Docente Contratado Tiempo Parcial,3.253.080,"31,10",1.011.708
Docente Contratado LRU,0,"30,70",0
Residencia Docente Contratado,1.337.440,"31,50",421.294
PAS Funcionario,28.882.327,"25,20",7.278.347
PAS Funcionario Interino,2.358.126,"30,70",723.945
Trienios PAS Funcionario,2.229.709,"25,20",561.887
Residencia PAS Funcionario,182.371,"25,20",45.957
PAS Laboral,34.315.550,"34,10",11.701.603
Residencia PAS Laboral,165.222,"34,10",56.341
