Personal,Plantilla,% ,Total
Docente funcionario (Régimen Gral. Seg. Social.),7493772,"22,65",1697339
Docente Interino,122454,"30,7",37593
Docente Contratado Tiempo Completo,22344399,"31,5",7038486
Docente Contratado Tiempo Parcial,3253080,"31,1",1011708
Docente Contratado LRU,0,"30,7",0
Residencia Docente Contratado,1337440,"31,5",421294
PAS Funcionario,28882327,"25,2",7278347
PAS Funcionario Interino,2358126,"30,7",723945
Trienios PAS Funcionario,2229709,"25,2",561887
Residencia PAS Funcionario,182371,"25,2",45957
PAS Laboral,34315550,"34,1",11701603
Residencia PAS Laboral,165222,"34,1",56341
