CARGO,N.º,INDIVIDUAL MENSUAL,INDIVIDUAL ANUAL
RECTOR,1,"1424,8","20146,67"
VICERRECTOR,7,"644,12","9107,86"
SECRETARIO GENERAL,1,"644,12","9107,86"
INSPECTOR DE SERVICIOS,1,"644,12","9107,86"
DEFENSOR UNIVERSITARIO,1,"644,12","9107,86"
CARGOS ASIMILADOS A VICERRECTOR,2,"644,12","9107,86"
DECANO DE FACULTAD,21,"502,22","7101,39"
DIRECTOR DE ESCUELA  TÉCNICA  SUPERIOR,4,"502,22","7101,39"
CARGOS ASIMILADOS A DECANO DE FACULTAD,28,"502,22","7101,39"
DIRECTOR DE DEPARTAMENTO,116,"363,41","5138,62"
CARGOS ASIMILADOS A DIRECTOR DE DEPARTAMENTO,35,"363,41","5138,62"
VICEDECANO DE FACULTAD,88,"271,01","3832,08"
SUBDIRECTOR DE ESCUELA TÉCNICA SUPERIOR,18,"271,01","3832,08"
SECRETARIO DE FACULTAD,22,"271,01","3832,08"
SECRETARIO ESCUELA TÃ‰CNICA SUPERIOR,4,"271,01","3832,08"
CARGOS ASIMILADOS A VICEDECANO DE FACULTAD,13,"271,01","3832,08"
DIRECTOR DE INSTITUTO UNIVERSITARIO,13,"363,41","5138,62"
CARGOS ASIMILADOS A DIRECTOR DE INSTITUTO UNIV.,2,"363,41","5138,62"
SECRETARIO DE DEPARTAMENTO,116,"195,36","2762,39"
COORDINADOR MÁSTERES OFICIALES Y PROGR.DOCTORADO,65,"195,36","2762,39"
CARGOS ASIMILADOS A SECRETARIO DE DEPARTAMENTO,124,"195,36","2762,39"
PONENTES BACHILLERATO,18,"141,31","1998,12"
