ESCALA,GRUPO,PLANTILLA,SUELDO MENSUAL,TOTAL ANUAL INDIVIDUAL,TOTAL ANUAL
Técnica de Universidad,A1,33,"1120,14","14824,09","651657,86"
Técnica de Gestión de Universidad (Informática),A1,37,"1120,14","14824,09","547985,02"
Facultativo de Biblioteca de Universidad,A1,33,"1120,14","14824,09","533174,62"
Cuerpos y Escalas de otros Organismos,A1,2,"1120,14","14824,09","29620,81"
Técnica Profesional ,A1,41,"1120,14","14824,09","607226,65"
Gestión de Universidad,A2,123,"968,57","13035,59","1692807,69"
Gestión de Universidad (Informática),A2,31,"968,57","13035,59","403669,53"
Ayudante de Biblioteca de Universidad,A2,20,"968,57","13035,59","247410,35"
Cuerpos y Escalas de otros Organismos,A2,4,"968,57","13035,59","247410,35"
Gestión Profesional ,A2,8,"968,57","13035,59","52086,39"
Administrativa de Universidad,C1,473,"727,22","9983,69","4865966,29"
Administrativa de Universidad (Informática),C1,8,"727,22","9983,69","79769,94"
Cuerpos y Escalas de otros Organismos,C1,13,"727,22","9983,69","129626,15"
Auxiliar de Universidad,C2,27,"605,24","9983,69","245064,21"
Auxiliar de Universidad Interino,C2,117,"605,24","9983,69","828148,02"
