Tipo,Denominación,1º,2º,3º,4º,5º,6º,Cargos o complementos
Tramo docente,C.U.,"148,58","297,16","445,74","594,32","742,9","891,48",0
Tramo docente,T.U. Y C.E.U.,"120,34","240,68","361,02","481,36","601,7","722,04",0
Tramo docente,T.E.U.,"101,84","203,68","305,52","407,36","509,2","611,04",0
Cargo académico,Rector Universidad,0,0,0,0,0,0,"1424,8"
Cargo académico,Vicerrector,0,0,0,0,0,0,"644,12"
Cargo académico,Decano o Director Centro,0,0,0,0,0,0,"502,22"
Cargo académico,"Vicedecano, Subdirector, Secretario",0,0,0,0,0,0,"271,01"
Cargo académico,Director de Departamento,0,0,0,0,0,0,"363,41"
Cargo académico,Secretario de Departamento,0,0,0,0,0,0,"195,36"
Cargo académico,Director de Instituto Universitario,0,0,0,0,0,0,"363,41"
Cargo académico,Coordinador de COU,0,0,0,0,0,0,"141,32"
Complemento autonómico,MARZO Y SEPTIEMBRE,0,0,0,0,0,0,"757,46"
Complemento autonómico,ANUAL,0,0,0,0,0,0,"1514,92"
