"CATEGORÍA","GRUPO","SUELDO INVIDUAL MENSUAL","COMPL. CATEGORÍA INDIVIDUAL MENSUAL","COMPL. PRODUCT. INDIVIDUAL ANUAL","COMPL. HOMOLOG. INDIVIDUAL ANUAL","COMPL. VESTUARIO INDIVIDUAL ANUAL","TOTAL ANUAL INDIVIDUAL","PLANTILLA","TOTAL ANUAL"
"T.S. Deportes","I","1.541,10","923,40","4.313,44","942,00","255,20","39.707,94",4,"158.831,75"
"T.S. Prensa e información","I","1.541,10","923,40","4.313,44","942,00","255,20","39.707,94",2,"79.415,88"
"T.S. Apoyo a la docencia e investigación","I","1.541,10","1.091,44","4.313,44","942,00","255,20","41.724,34",9,"375.519,08"
"Titulado Superior","I","1.541,10","923,40","3.666,62","942,00","255,20","39.061,12",11,"429.672,36"
"T.S. Actividades culturales","I","1.541,10","923,40","4.313,44","942,00","255,20","39.707,94",1,"39.707,94"
"Titulado de Grado Medio","II","1.298,42","735,58","3.666,62","942,00","255,20","33.167,14",12,"398.005,65"
"T.G.M. Apoyo a la docencia e investigación","II","1.298,42","885,18","3.666,62","942,00","340,27","35.047,42",28,"981.327,81"
"T.G.M. Deportes","II","1.298,42","735,58","3.666,62","942,00","340,27","33.252,21",7,"232.765,45"
"T.G.M. Prevensión","II","1.298,42","885,18","3.666,62","942,00","255,20","34.962,35",1,"34.962,35"
"Trabajador social","II","1.298,42","735,58","3.666,62","942,00","255,20","33.167,14",4,"132.668,55"
"T.E. Deportes","III","1.135,82","458,47","2.803,53","942,00","340,27","26.624,66",2,"53.249,32"
"T.E. Prensa e Información","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",2,"53.079,18"
"Conductor mecánico","III","1.135,82","573,58","2.803,53","942,00","510,39","28.176,10",3,"84.528,31"
"Delineante","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",1,"26.539,59"
"Encargado equipo conserjería","III","1.135,82","624,02","3.242,07","942,00","510,39","29.219,92",42,"1.227.236,54"
"Encargado equipo","III","1.135,82","739,15","3.242,07","942,00","510,39","30.601,48",20,"612.029,53"
"Interprete/informador","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",3,"79.618,76"
"T.E.S.T.O.E.M.","III","1.135,82","573,58","2.803,53","942,00","510,39","28.176,10",61,"1.718.742,27"
"T.E. Telecomunicaciones","III","1.135,82","458,47","2.803,53","942,00","510,39","26.794,79",2,"53.589,57"
"T.E. Biblioteca,archivo y museos","III","1.135,82","458,47","2.803,53","942,00","340,27","26.624,66",120,"3.194.958,98"
"T.E.Laboratorio","III","1.135,82","573,58","2.803,53","942,00","340,27","28.005,97",107,"2.996.639,28"
"T.E. Medios audiovisuales","III","1.135,82","458,47","2.803,53","942,00","340,27","26.624,66",3,"79.873,97"
"T.E. Almacén","III","1.135,82","458,47","2.803,53","942,00","340,27","26.624,66",2,"53.249,32"
"T.E. Prevención riesgos laborales","III","1.135,82","573,58","2.803,53","942,00","255,20","27.920,90",3,"83.762,71"
"T.E. Administración (a extinguir)","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",5,"132.697,94"
"T.E.Actividades Culturales","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",1,"26.539,59"
"T.E. Hostelería","III","1.135,82","458,47","2.803,53","942,00","510,39","26.794,79",17,"455.511,37"
"Técnico Especialista","III","1.135,82","458,47","2.803,53","942,00","255,20","26.539,59",74,"1.963.929,53"
"T.A. Servicio conserjería","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",239,"5.427.500,02"
"T.A. Servicio limpieza","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",157,"3.565.345,20"
"T.A.S.T.O.E.M.","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",61,"1.385.261,51"
"T.A. Instalaciones deportivas","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",26,"590.439,33"
"T.A. Hostelería","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",56,"1.271.715,49"
"T.A. Laboratorio","IV","993,60","312,46","2.603,29","942,00","340,27","22.539,08",8,"180.312,61"
"T.A. Seguridad (a extinguir)","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",3,"68.127,62"
"T.A. Administración","IV","993,60","312,46","2.603,29","942,00","510,39","22.709,21",2,"45.418,41"
"T.A. Almacén","IV","993,60","312,46","2.603,29","942,00","340,27","22.539,08",1,"22.539,08"
"Modelo en vivo","IV","993,60","312,46","-","942,00","340,27","19.935,79",4,"79.743,17"
"Expendedores de tickes","IV","-","-","-","-","-","-",2,"14.778,37"
