CARGO,Nº,INDIVIDUAL MENSUAL
Rector,1,"1.424,80"
Vicerrector,7,"644,12"
Secretario General,1,"644,12"
Inspector de Servicios,1,"644,12"
Defensor Universitario,1,"644,12"
Cargos asimilados a Vicerrector,2,"644,12"
Decano de Facultad,21,"502,22"
Director de Escuela Técnica Superior,4,"502,22"
Cargos asimilados a Decano de Facultad,28,"502,22"
Director de Departamento,116,"363,41"
Cargos asimilados a Director de Departamento,35,"363,41"
Vicedecano de Facultad,88,"271,01"
Subdirector de Escuela Técnica Superior,18,"271,01"
Secretario de Facultad ,22,"271,01"
Secretario Escuela Técnica Superior,4,"271,01"
Cargos asimilados a Vicedecano de Facultad,13,"271,01"
Director de Instituto Universitario,13,"363,41"
Cargos asimilados a Director de Instituto Univ.,2,"363,41"
Secretario de Departamento,116,"195,36"
Coordinador Masteres Oficiales y Progr.Doctorado,65,"195,36"
Cargos asimilados a Secretario de Departamento,124,"195,36"
Ponentes Bachillerato,18,"141,31"
