Escala,Grupo,Plantilla,Total anual
Técnica de Universidad,A1,33,"651657,86"
Técnica de Gestión de Universidad (Informática),A1,37,"547985,02"
Facultativo de Biblioteca de Universidad,A1,33,"533174,62"
Cuerpos y Escalas de otros Organismos,A1,2,"29620,81"
Técnica Profesional ,A1,41,"607226,65"
Gestión de Universidad,A2,123,"1692807,69"
Gestión de Universidad (Informática),A2,31,"403669,53"
Ayudante de Biblioteca de Universidad,A2,20,"247410,35"
Cuerpos y Escalas de otros Organismos,A2,4,"247410,35"
Gestión Profesional ,A2,8,"52086,39"
Administrativa de Universidad,C1,473,"4865966,29"
Administrativa de Universidad (Informática),C1,8,"79769,94"
Cuerpos y Escalas de otros Organismos,C1,13,"129626,15"
Auxiliar de Universidad,C2,27,"245064,21"
Auxiliar de Universidad Interino,C2,117,"828148,02"
