Nivel,Tipo [1],C. Destino (individual mensual),C. Específ (individual mensual),C.P.N.A. (individual mensual),C. Product. (individual anual),C. Homolog. (individual anual),Plantilla,Total anual individual,Total anual
30,LD,"978,44","3725,16",0,0,942,1,"66792,4","66792,4"
29,1,"877,62","1736,03",0,"5206,55",942,4,"42739,61","170958,46"
29,2,"877,62","1105,47",0,"5206,55",942,4,"33911,73","135646,92"
27,2,"803,81","1105,47",0,"4467,62",942,86,"32139,45","2763992,91"
26,2,"705,18","1105,47","98,63","4467,62",942,23,"31942,2","734670,59"
26,3,"705,18","884,39",0,"4467,62",942,2,"27663,58","55327,15"
25,3,"625,66","884,39",0,"3586,64",942,91,"25669,35","2335911,03"
23,4,"551,87","672,51",0,"3264,11",942,64,"21347,46","1366237,5"
22,2,"514,94","1105,47",0,"3264,11",942,1,"26891,76","26891,76"
22,3,"514,94","884,39","110,73","3264,11",942,13,"25125,37","326629,76"
22,4,"514,94","672,51","36,94","3264,11",942,117,"21273,59","2489009,98"
22,5,"514,94","558,27",0,"3264,11",942,170,"19230,99","3269267,59"
20,5,"444,1","558,27",0,"2803,53",942,195,"17778,63","3466832,07"
19,6,"421,42","442,19",0,"2803,53",942,1,"15836,07","15836,07"
19,7,"421,42","442,19",0,"2803,53",942,2,"15836,07","31672,15"
18,6,"398,74","460,61",0,"2603,24",942,13,"15576,12","202489,55"
17,7,"376,05","442,19",0,"2603,24",942,39,"15000,62","585024,22"
15,7,"330,71","350,11",0,"2603,24",942,1,"13076,73","13076,73"
15,8,"330,71","350,11",0,"2603,24",942,26,"13076,73","339995,05"
15,8,"330,71","350,11",0,"2603,24",942,117,"13076,73","1529977,71"
