"CATEGORÍA","TIPO","SUELDO INDIVIDUAL MENSUAL","C.DESTINO Ó C.SING.CATEG. INDIVIDUAL MENSUAL","C.DOCTOR Ó C.ESPECÍFICO INDIVIDUAL MENSUAL","PLANTILLA","SUELDO TOTAL ANUAL","C.DESTINO Ó C.SING.CATEG. TOTAL ANUAL","C.DOCTOR Ó C.ESPECÍFICO. TOTAL ANUAL","INDIVIDUAL TOTAL ANUAL","TOTAL"
"Profesor Colaborador ","TC","952,12","1075,62","0,00",134,"1.976.727,32 ","1.729.596,48 ","0,00 ","27.659,13 ","3.706.323,80 "
"Profesor Visitante ","TC","896,09","603,44","0,00",17,"233.787,06 ","123.102,72 ","0,00 ","20.993,52 ","356.889,78 "
"Profesor Asociado",2,"112,02","126,54","0,00",9,"15.620,07 ","13.666,63 ","0,00 ","3.254,08 ","29.286,71 "
"Profesor Asociado",3,"168,02","189,82","0,00",49,"127.560,48 ","111.613,81 ","0,00 ","4.881,11 ","239.174,28 "
"Profesor Asociado ",4,"224,03","253,09","0,00",40,"138.839,45 ","121.481,18 ","0,00 ","6.508,02 ","260.320,63 "
"Profesor Asociado ",5,"280,03","316,36","0,00",34,"147.516,40 ","129.075,82 ","0,00 ","8.135,07 ","276.592,22 "
"Profesor Asociado",6,"268,83","303,71","0,00",244,"1.073.591,22 ","889.254,10 ","0,00 ","8.044,45 ","1.962.845,31 "
"Profesor Ayudante Doctor","TC","728,09","822,53","119,28",124,"1.428.389,75 ","1.223.930,44 ","177.490,13 ","22.821,05 ","2.829.810,32 "
"Profesor Ayudante ","TC","728,09","822,53","0,00",,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
"Profesor Contratado Doctor","TC","1120,14","1265,44","0,00",470,"8.156.836,56 ","7.137.076,52 ","0,00 ","32.540,24 ","15.293.913,08 "
"Asociados Ciencias de la Salud",3,"269,37","0,00","0,00",150,"484.860,60 ","0,00 ","0,00 ","3.232,40 ","484.860,60 "
"Asociados Extranjeros","TC","1027,10","689,95","113,51",1,"15.839,02 ","8.279,41 ","1.362,17 ","25.480,60 ","25.480,60 "
"Profesor Laboral Permanente","TC","1541,10","923,40","105,72",2,"39.751,18 ","22.161,66 ","2.537,20 ","32.225,02 ","64.450,04 "
"Profesores de Educación Física","TC","1527,79","409,96","0,00",4,"73.333,76 ","19.678,03 ","0,00 ","23.252,95 ","93.011,79 "
"Profesorado EU Enfermería Ceuta","-","-","-","-",5,"-","-","-","-","155.000,00 "
"Complemento Autonómico","-","-","-","-","-","-","-","-","-","775.745,08 "
"Personal Docente por sustitución","-","-","-","-",116,"-","-","-","-","650.000,00 "
"Previsión actuaciones Personal Docente e Investigador Contratado","-","-","-","-","-","-","-","-","-","400.000,00 "
