Categoría,Tipo,Sueldo individual mensual,Compl. Dest. Individual mensual,Compl. Espec. Individual mensual,Plantilla,Sueldo total anual,Compl. Dest. Total anual,Compl. Espec. Total anual,Total individual anual,Total
Catedrático de Universidad,TC,"1120,14","877,62","989,51",613,"9087169,13","7531728,83","8491949,93","40963,86","25110847,9"
Titular de Universidad,TC,"1120,14","803,81","461,63",1155,"17121827,65","12997583,45","7464566,8","32540,24","37583977,89"
Titular de Universidad (Régimen Gral. Seg. Social.),TC,"1120,14","803,81","461,63",218,"3231652,32","2453223,54","1408896,59","32540,24","7093772,45"
Titular de Universidad ,TP,"485,24","548,19",,1,"7205,35","7674,64",0,"14879,98","14879,98"
Catedrático de Escuela Universitaria,TC,"1120,14","803,81","461,63",29,"429898,7","326346,25","187422,02","32540,24","943666,98"
Titular de Escuela Universitaria,TC,"1120,14","705,18","285,01",90,"1334168,39","888529,32","359114,99","28686,81","2581812,7"
Titular de Escuela Universitaria,TP,"485,24","428,95",,1,"7205,35","6005,33",0,"13210,67","13210,67"
Titular de Universidad Interino,TC,"1120,14","803,81","461,63",2,"29648,19","22506,64","12925,66","32540,24","65080,48"
Titular de Escuela Universitaria Interino,TC,"1120,14","705,18","285,01",2,"29648,19","19745,1","7980,33","28686,81","57373,62"
Profesorado Emérito,TC,"2470,05",0,0,18,"558413,24",0,0,"31022,96","558413,24"
Profesor de Enseñanza Secundaria y similar en comisión de servicio,TC,"1120,14","588,75","569,86",5,"74120,47","41212,44","39890,35","31044,65","155223,26"
Maestría Industrial y similar en comisión de servicio,TC,"968,57","588,75","569,86",3,"39015,73","24727,47","23934,21","29225,8","87677,41"
