Categoría,Grupo,Sueldo invidual mensual,Compl. Categoría individual mensual,Compl. Product. Individual anual,Compl. Homolog. Individual anual,Compl. Vestuario individual anual,Total anual individual,Plantilla,Total anual
T.S. Deportes,I,"1541,1","923,4","4313,44",942,"255,2","39707,94",4,"158831,75"
T.S. Prensa e información,I,"1541,1","923,4","4313,44",942,"255,2","39707,94",2,"79415,88"
T.S. Apoyo a la docencia e investigación,I,"1541,1","1091,44","4313,44",942,"255,2","41724,34",9,"375519,08"
Titulado Superior,I,"1541,1","923,4","3666,62",942,"255,2","39061,12",11,"429672,36"
T.S. Actividades culturales,I,"1541,1","923,4","4313,44",942,"255,2","39707,94",1,"39707,94"
Titulado de Grado Medio,II,"1298,42","735,58","3666,62",942,"255,2","33167,14",12,"398005,65"
T.G.M. Apoyo a la docencia e investigación,II,"1298,42","885,18","3666,62",942,"340,27","35047,42",28,"981327,81"
T.G.M. Deportes,II,"1298,42","735,58","3666,62",942,"340,27","33252,21",7,"232765,45"
T.G.M. Prevensión,II,"1298,42","885,18","3666,62",942,"255,2","34962,35",1,"34962,35"
Trabajador social,II,"1298,42","735,58","3666,62",942,"255,2","33167,14",4,"132668,55"
T.E. Deportes,III,"1135,82","458,47","2803,53",942,"340,27","26624,66",2,"53249,32"
T.E. Prensa e Información,III,"1135,82","458,47","2803,53",942,"255,2","26539,59",2,"53079,18"
Conductor mecánico,III,"1135,82","573,58","2803,53",942,"510,39","28176,1",3,"84528,31"
Delineante,III,"1135,82","458,47","2803,53",942,"255,2","26539,59",1,"26539,59"
Encargado equipo conserjería,III,"1135,82","624,02","3242,07",942,"510,39","29219,92",42,"1227236,54"
Encargado equipo,III,"1135,82","739,15","3242,07",942,"510,39","30601,48",20,"612029,53"
Interprete/informador,III,"1135,82","458,47","2803,53",942,"255,2","26539,59",3,"79618,76"
T.E.S.T.O.E.M.,III,"1135,82","573,58","2803,53",942,"510,39","28176,1",61,"1718742,27"
T.E. Telecomunicaciones,III,"1135,82","458,47","2803,53",942,"510,39","26794,79",2,"53589,57"
"T.E. Biblioteca,archivo y museos",III,"1135,82","458,47","2803,53",942,"340,27","26624,66",120,"3194958,98"
T.E.Laboratorio,III,"1135,82","573,58","2803,53",942,"340,27","28005,97",107,"2996639,28"
T.E. Medios audiovisuales,III,"1135,82","458,47","2803,53",942,"340,27","26624,66",3,"79873,97"
T.E. Almacén,III,"1135,82","458,47","2803,53",942,"340,27","26624,66",2,"53249,32"
T.E. Prevención riesgos laborales,III,"1135,82","573,58","2803,53",942,"255,2","27920,9",3,"83762,71"
T.E. Administración (a extinguir),III,"1135,82","458,47","2803,53",942,"255,2","26539,59",5,"132697,94"
T.E.Actividades Culturales,III,"1135,82","458,47","2803,53",942,"255,2","26539,59",1,"26539,59"
T.E. Hostelería,III,"1135,82","458,47","2803,53",942,"510,39","26794,79",17,"455511,37"
Técnico Especialista,III,"1135,82","458,47","2803,53",942,"255,2","26539,59",74,"1963929,53"
T.A. Servicio conserjería,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",239,"5427500,02"
T.A. Servicio limpieza,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",157,"3565345,2"
T.A.S.T.O.E.M.,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",61,"1385261,51"
T.A. Instalaciones deportivas,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",26,"590439,33"
T.A. Hostelería,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",56,"1271715,49"
T.A. Laboratorio,IV,"993,6","312,46","2603,29",942,"340,27","22539,08",8,"180312,61"
T.A. Seguridad (a extinguir),IV,"993,6","312,46","2603,29",942,"510,39","22709,21",3,"68127,62"
T.A. Administración,IV,"993,6","312,46","2603,29",942,"510,39","22709,21",2,"45418,41"
T.A. Almacén,IV,"993,6","312,46","2603,29",942,"340,27","22539,08",1,"22539,08"
Modelo en vivo,IV,"993,6","312,46",-,942,"340,27","19935,79",4,"79743,17"
Expendedores de tickes,IV,-,-,-,-,-,-,2,"14778,37"
