"Resolución","Tipo","Categoría","Forma de Acceso","Grupo/Subgrupo","Cupo General","Reserva Discap.","Total Plazas","Año"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Funcionario","Escala Auxiliar Administrativa","Concurso-Oposición Libre","C2","12","3","15","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Funcionario","Escala de Ayudantes de Archivos, Bibliotecas y Museos","Concurso-Oposición Libre","A2","3","0","3","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Funcionario","Escala de Gestión Informática","Concurso-Oposición Libre","A2","4","1","5","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Funcionario","Escala Administrativa","Concurso-Oposición Promoción Interna","C1","60","5","65","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Funcionario","Escala Técnica de Informática","Concurso-Oposición Promoción Interna","A1","8","1","9","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.S. Deportes","Promoción Interna (1)","1","1","0","1","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.G.M. Deportes","Promoción Interna (1)","2","2","0","2","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","Encargado Equipo de Conserjería","Promoción Interna (1)","3","4","0","4","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.E. Conserjeria/Medios Audiovisuales","Promoción Interna (1)","3","10","0","10","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.E. Servicios Técnicos, Obras, Equipamientos y Mantenimiento. Instalaciones Deportivas","Promoción Interna (1)","3","3","0","3","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.E. de Hostelería","Promoción Interna (1)","3","2","0","2","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","Técnico Especialista de Laboratorio","Promoción Interna (1)","3","7","1","8","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T.E. Recepcionista","Promoción Interna (1)","3","1","0","1","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T. Especialista Laboratorio (Experimentacion Animal)","Promoción Interna (1)","3","3","0","3","2011"
"Resolución de la Universidad de Granada, de 8 de abril de 2011, por la que se aprueba y publica la Oferta de Empleo Público del Personal de Administración y Servicios de esta Universidad para el año 2011","Personal Laboral","T. Auxiliar Laboratorio (Experimentacion Animal)","Promoción Interna (1)","4","2","0","2","2011"
"Resolución de 11 de diciembre de 2015 de la Universidad de Granada por la que se publica la Oferta de Empleo Público del Personal de Administración y Servicios para el año 2015","Personal Funcionario","Escala Técnica Profesional (Médico/a de Empresa)","Concurso-Oposición Libre","A1","Sin especificar","Sin especificar","1","2015"
"Resolución de 11 de diciembre de 2015 de la Universidad de Granada por la que se publica la Oferta de Empleo Público del Personal de Administración y Servicios para el año 2015","Personal Funcionario","Escala de Gestion Profesional (Enfermero/a de Empresa)","Concurso-Oposición Libre","A2","Sin especificar","Sin especificar","1","2015"
"Resolución de 11 de diciembre de 2015 de la Universidad de Granada por la que se publica la Oferta de Empleo Público del Personal de Administración y Servicios para el año 2015","Personal Funcionario","Escala de Ayudantes de Archivos, Bibliotecas y Museos","Concurso-Oposición Libre","A2","Sin especificar","Sin especificar","3","2015"
"Resolución de 11 de diciembre de 2015 de la Universidad de Granada por la que se publica la Oferta de Empleo Público del Personal de Administración y Servicios para el año 2015","Personal Laboral","Técnico Auxiliar de Servicios de Limpieza","Concurso-Oposición Libre","IV","Sin especificar","Sin especificar","10","2015"
