Grupo Profesional,Categoría,Forma de Acceso,Cupo General,Reserva Discap.,Total Plazas
1,T.S. Deportes,Promoción Interna (1),1,0,1
2,T.G.M. Deportes,Promoción Interna (1),2,0,2
3,Encargado Equipo de Conserjería,Promoción Interna (1),4,0,4
3,T.E. Conserjeria/Medios Audiovisuales,Promoción Interna (1),10,0,10
3,"T.E. Servicios Técnicos, Obras, Equipamientos y Mantenimiento. Instalaciones Deportivas",Promoción Interna (1),3,0,3
3,T.E. de Hostelería,Promoción Interna (1),2,0,2
3,Técnico Especialista de Laboratorio,Promoción Interna (1),7,1,8
3,T.E. Recepcionista,Promoción Interna (1),1,0,1
3,T. Especialista Laboratorio (Experimentacion Animal),Promoción Interna (1),3,0,3
4,T. Auxiliar Laboratorio (Experimentacion Animal),Promoción Interna (1),2,0,2
