Comisiones de trabajo,Miembros
Comisión Permanente: Coordinador General de Estudiantes,Gorka Martí­n Terrón (coordinadordge@ugr.es) 
Comisión Permanente: Vicecoordinador,Vacante (vicedge@ugr.es)
Comisión Permanente: Secretarí­a,Javier Tenedor Tenedor (secretariodge@ugr.es)
Comisión Permanente: Tesorerí­a,Vacante (economicadge@ugr.es)
Comisión Permanente: Gabinete de Comunicación,Agustí­n Mora Palomares (comunicaciondge@ugr.es)
Comisión Permanente: Coord. C. Extensión Universitaria,Araceli Jurado Vigil (extensiondge@ugr.es)
Comisión Permanente: Coord. C. Asuntos Académicos,Carolina López Zambudio (academicadge@ugr.es)
Comisión Permanente: Coord. C. Jurí­dica,Antonio Morales Lozano (juridicadge@ugr.es)
Comisión Permanente: Vocal de Artes y Humanidades,Marí­a Laguna Jeréz
Comisión Permanente: Vocal de Ciencias de la Salud,Miriam Valenzuela Martí­nez
Comisión Permanente: Vocal de Ingenierí­a y Arquitectura,Francisco Antonio Frutos Villalón
Comisión Permanente: Vocal de Ciencias Sociales y Jurí­dicas,Vacante
Comisión de Extensión Universitaria,Coordinadora: Araceli Jurado Vigil 
Comisión de Extensión Universitaria,Ángela Ma­ría Garrido Garcí­a
Comisión de Extensión Universitaria,Antonio José Gavilán Gutiérrez 
Comisión de Extensión Universitaria,Michaëlle López Euradic
Comisión de Extensión Universitaria,Sergio Ruiz Medina
Comisión de Extensión Universitaria,Carolina López Zambudio
Comisión de Extensión Universitaria,Francisco Jesús Ruiz López
Comisión de Asuntos Académicos,Coordinadora: Carolina López Zambudio
Comisión de Asuntos Académicos,Samara López Ruiz
Comisión de Asuntos Académicos,Antonio Matias Alabarce Sánchez
Comisión de Asuntos Académicos,Julia Hurtado Morales
Comisión de Asuntos Académicos,Antonio Morales Lozano
Comisión de Asuntos Académicos,Nuria Navarrete Torres
Comisión de Asuntos Académicos,Victoria Sánchez Mas
Comisión Jurí­dica,Coordinador: Antonio Morales Lozano
Comisión Jurí­dica,Victoria Sánchez Mas
Comisión Jurí­dica,Miriam Valenzuela Martí­nez
Comisión Jurí­dica,Adrián Rodrí­guez Garcí­a
Comisión Jurí­dica,Antonio José Gavilán Gutiérrez
Comisión Jurí­dica,Samara López Ruiz
Comisión Jurí­dica,Roberto Rodrí­guez Muñoz
Comisión Económica e Infraestructuras,Coordinador: vacante
Comisión Económica e Infraestructuras,Ángel Joaquí­n Guidet Gómez
Comisión Económica e Infraestructuras,Hamza Hammou Mohamedi
Comisión Económica e Infraestructuras,Rocí­o Madolell Orellana
Comisión Económica e Infraestructuras,Adrián Segura Robles
Comisión Económica e Infraestructuras,Carolina López Zambudio
Comisión Económica e Infraestructuras,Sergio Ruiz Medina
