Identificación,Colectivo asociado,Ámbito
"ARANDA RAMÍREZ, PILAR",Rectora - Presidenta del Claustro,UGR
"MERCADO PACHECO, PEDRO",Secretario General,UGR
"HOLGADO MOLINA, MARÍA DEL MAR",Gerente,UGR
"LAMAS FERNÁNDEZ, FRANCISCO JOAQUÍN",Profesorado doctor con vinculación permanente,E.T.S. DE ARQUITECTURA
"MÁRQUEZ GARCÍA, MARÍA LUISA",Profesorado doctor con vinculación permanente,E.T.S. DE ARQUITECTURA
"CHACÓN MONTERO, JOSÉ",Profesorado doctor con vinculación permanente,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"DELGADO RAMOS, FERNANDO",Profesorado doctor con vinculación permanente,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"MARTÍNEZ MONTES, GERMÁN",Profesorado doctor con vinculación permanente,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"MORENO ESCOBAR, BEGOÑA",Profesorado doctor con vinculación permanente,"E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS"
"CHAMORRO MARTÍNEZ, JESÚS",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"CLARES RODRÍGUEZ, BUENAVENTURA",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"FERNÁNDEZ VALDIVIA, JOAQUÍN",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"MOLINA SORIANO, RAFAEL",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"ORTEGA LOPERA, JULIO",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
VACANTE,Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"REQUENA RAMOS, IGNACIO",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"TORRES CANTERO, JUAN CARLOS",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"VERDEGAY GALDEANO, JOSÉ LUIS",Profesorado doctor con vinculación permanente,E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN
"SANTIAGO ZARAGOZA, JUAN MANUEL",Profesorado doctor con vinculación permanente,E.T.S. INGENIERÍA DE EDIFICACIÓN
"GARCÍA RÍOS, MARÍA DEL CARMEN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA SALUD
"GUISADO BARRILAO, RAFAEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA SALUD
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS DE LA SALUD DE CEUTA
"MARMOLEJO MARTÍN, JUAN ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS SOCIALES DE MELILLA
"BENBUNAN BENTATA, BIBINHA",Profesorado doctor con vinculación permanente,FACULTAD DE ENFERMERÍA DE MELILLA
"RAYA LOZANO, ENRIQUE EDUARDO",Profesorado doctor con vinculación permanente,FACULTAD DE TRABAJO SOCIAL
"FUENTES MARTÍN, JOSE MIGUEL",Profesorado doctor con vinculación permanente,FACULTAD DE BELLAS ARTES
"GARCÍA BUENO, ANA",Profesorado doctor con vinculación permanente,FACULTAD DE BELLAS ARTES
"ÓDAR MIÑARRO, ASUNCIÓN",Profesorado doctor con vinculación permanente,FACULTAD DE BELLAS ARTES
"MARTÍNEZ VILLA, ANTONIO",Profesorado doctor con vinculación permanente,FACULTAD DE BELLAS ARTES
"MEDINA FLOREZ, VÍCTOR",Profesorado doctor con vinculación permanente,FACULTAD DE BELLAS ARTES
VACANTE,Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CABRERIZO VÍLCHEZ, MIGUEL ÁNGEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CAPITAN VALLVEY, LUIS FERMÍN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CARMONA MARTOS, RAMÓN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CARRIÓN PÉREZ, Mª DEL CARMEN",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CORNET SÁNCHEZ DEL ÁGUILA, FERNANDO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"CRUZ PIZARRO, LUIS JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"GÁLVEZ RUIZ, Mª JOSÉ",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"GÁMEZ RUIZ, JOSÉ LUIS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"GARCÍA LÓPEZ, ANA ISABEL",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"GONZÁLEZ CABALLERO, FERNANDO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"GONZÁLEZ CARMONA, ANDRÉS",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"HIDALGO PUERTAS, FÉLIX",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"MORALES RUANO, SALVADOR",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"MORENO SÁNCHEZ, JOSÉ MARÍA",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"NAVALÓN MONTÓN, ALBERTO",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"OLTRA FERRERO, JUAN ENRIQUE",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
"PASCUAL TORRES, FELIPE",Profesorado doctor con vinculación permanente,FACULTAD DE CIENCIAS
