"Cargo","Identificación","Perfil"
"Presidente","D. Gregorio Vicente Jiménez López","Empresario - Por el Consejo de Gobierno de la Junta de Andalucía"
"Consejera - secretaria","Dª Virtudes Molina Espinar","Catedrática de Instituto - Por el Consejo de Gobierno de la Junta de Andalucía"
"Vocal por la comunidad universitaria","Dª Pilar Aranda Ramírez","Rectora - Catedrática de Universidad"
"Vocal por la comunidad universitaria","D. Pedro Mercado Pacheco","Secretario General - Profesor Titular Universidad"
"Vocal por la comunidad universitaria","Dª Mª del Mar Holgado Molina","Gerente - Profesora Titular Universidad"
"Vocal por la comunidad universitaria elegido por el Consejo de Gobierno de la Universidad","Dª Mª del Mar Holgado Molina","PDI - Profesora Titular de Universidad - Decana de la Facultad de Ciencias Económicas y Empresariales"
"Vocal por la comunidad univesitaria elegido por el Consejo de Gobierno de la Universidad","D. Ramón Ricardo Rosas Romera","Alumno"
"Vocal por la comunidad universitaria elegido por el Consejo de Gobierno de la Universidad","D. José Antonio López Fernández","PAS - Responsable de Área de los Servicios Jurídicos"
"Vocal por los intereses sociales por el Parlamento de Andalucía","D. Luis González Ruiz","Vicepresidente de Caja Granada"
"Vocal por los intereses sociales por el Parlamento de Andalucía","Dª Mercedes Mol de Miguel","Empresaria"
"Vocal por los intereses sociales por el Parlamento de Andalucía","D. Antonio Romero Romero","Vicepresidente del Colegio Oficial de Titulados Mercantiles y Empresariales de Granada"
"Vocal por los intereses sociales por el Parlamento de Andalucía","Dª Carmen Solera Albero","Abogada"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ","D. Adolfo Machado de la Quintana","Presidente Grupo de Empresas Radio Granada"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ","Dª Concepción González Insúa","Empresaria - Presidenta de la Asociación Granadina de Mujeres Empresarias"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ","D. Javier de Teresa Galván","Médico - Presidente del Colegio Oficial de Médicos de Granada"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","Dª Soledad López Fernández","Inspectora de Trabajo"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","Dª María José López González","Directora General de CETURSA Sierra Nevada S.A."
"Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","D. José María Rosales de Angulo","Abogado"
"Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","D. Javier Jiménez Ortiz","Empresario "
"Vocal por los intereses sociales por los Organismos Sindicales","Dª Manuela Martínez Jiménez","Secretaria General U.G.T. Granada"
"Vocal por los intereses sociales por los Organismos Sindicales","D. Ricardo Flores López","Secretario General CC.OO. Granada"
"Vocal por los intereses sociales por las Organizaciones Empresariales","D. Gerardo Cuerva Valdivia","Empresario - Presidente de la Confederación Granadina de Empresarios"
"Vocal por los intereses sociales por las Organizaciones Empresariales","Dª Encarnación Ximénez de Cisneros Rebollo","Confederación Granadina de Empresarios"
"Vocal por los intereses sociales por las Organizaciones de Economía Social","D. Nicolás Chica Martín","Secretario General de Unión de Pequeños Agricultores y Ganaderos"
"Vocal por los intereses sociales por la Federación Andaluza de Municipios y Provincias","Dª María Francés Barrientos","Ayuntamiento de Granada - Concejala de Protección Ciudadana y Movilidad"
"Vocal por los intereses sociales por la Federación Andaluza de Municipios y Provincias","D. Rafael Gil Bracero","Profesor Titular de Universidad"
