Tipo,Denominación,Cargo,Identificación,Perfil
Unipersonal,Equipo de Gobierno,Rectora,Dª. Pilar Aranda Ramírez,Catedrática de Universidad
Unipersonal,Equipo de Gobierno,Secretario General,D. Pedro Mercado Pacheco,Profesor Titular de Universidad
Unipersonal,Equipo de Gobierno,Gerente,Dª. María del Mar Holgado Molina,Profesora Titular de Universidad
Unipersonal,Equipo de Gobierno,Vicerrectora de Docencia,Dª. María López Jurado,Catedrática de Universidad
Unipersonal,Equipo de Gobierno,Vicerrector de Investigación y Transferencia,Enrique Herrera Viedma,Catedrático de Universidad
Unipersonal,Equipo de Gobierno,Vicerrectora de Internacionalización,Dª. Dorothy Kelly,Catedrática de Universidad
Unipersonal,Equipo de Gobierno,Vicerrector de Estudiantes y Empleabilidad,D. José Antonio Naranjo Rodríguez,Profesor Titular de Universidad
Unipersonal,Equipo de Gobierno,Vicerrectora de Personal Docente e Investigador,Dª. Pilar Carrasco Carrasco,Profesora Titular de Universidad
Unipersonal,Equipo de Gobierno,Vicerrector de Extensión Universitaria,D. Víctor Jesús Medina Flórez,Catedrático de Universidad
Unipersonal,Equipo de Gobierno,"Vicerrectora de Responsabilidad Social, Igualdad e Inclusión",Dª. Teresa Ortega López,Profesora Titular de Universidad
Unipersonal,Equipo de Gobierno,Delegado de la Rectora para la Universidad Digital,D. Óscar Cordón García,Catedrático de Universidad
Colegiados,Consejo Social,Presidente por el Consejo de Gobierno de la Junta de Andalucía,D. Gregorio Vicente Jiménez López,Empresario 
Colegiados,Consejo Social,Consejera – secretaria por el Consejo de Gobierno de la Junta de Andalucía,Dª Virtudes Molina Espinar,Catedrática de Instituto
Colegiados,Consejo Social,Vocal por la Comunidad Universitaria,Dª Pilar Aranda Ramírez,Rectora – Catedrática de Universidad
Colegiados,Consejo Social,Vocal por la Comunidad Universitaria,D. Pedro Mercado Pacheco,Secretario General – Profesor Titular Universidad
Colegiados,Consejo Social,Vocal por la Comunidad Universitaria,Dª Mª del Mar Holgado Molina,Gerente – Profesora Titular Universidad
Colegiados,Consejo Social,Vocal por la Comunidad Universitaria elegido por el Consejo de Gobierno de la Universidad,Dª Mª del Mar Holgado Molina,PDI – Profesora Titular de Universidad – Decana de la Facultad de Ciencias Económicas y Empresariales
Colegiados,Consejo Social,Vocal por la comunidad univesitaria elegido por el Consejo de Gobierno de la Universidad,D. Ramón Ricardo Rosas Romera,Alumno
Colegiados,Consejo Social,Vocal por la Comunidad Universitaria elegido por el Consejo de Gobierno de la Universidad,D. José Antonio López Fernández,PAS – Responsable de Área de los Servicios Jurídicos
Colegiados,Consejo Social,Vocal por los intereses sociales por el Parlamento de Andalucía,D. Luis González Ruiz,Vicepresidente de Caja Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por el Parlamento de Andalucía,Dª Mercedes Mol de Miguel,Empresaria
Colegiados,Consejo Social,Vocal por los intereses sociales por el Parlamento de Andalucía,D. Antonio Romero Romero,Vicepresidente del Colegio Oficial de Titulados Mercantiles y Empresariales de Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por el Parlamento de Andalucía,Dª Carmen Solera Albero,Abogada
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ,D. Adolfo Machado de la Quintana,Presidente Grupo de Empresas Radio Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ,Dª Concepción González Insúa,Empresaria – Presidenta de la Asociación Granadina de Mujeres Empresarias
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucía ,D. Javier de Teresa Galván,Médico – Presidente del Colegio Oficial de Médicos de Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad,Dª Soledad López Fernández,Inspectora de Trabajo
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad,Dª María José López González,Directora General de CETURSA Sierra Nevada S.A.
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad,D. José María Rosales de Angulo,Abogado
Colegiados,Consejo Social,Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad,D. Javier Jiménez Ortiz,Empresario 
Colegiados,Consejo Social,Vocal por los intereses sociales por los Organismos Sindicales,Dª Manuela Martínez Jiménez,Secretaria General U.G.T. Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por los Organismos Sindicales,D. Ricardo Flores López,Secretario General CC.OO. Granada
Colegiados,Consejo Social,Vocal por los intereses sociales por las Organizaciones Empresariales,D. Gerardo Cuerva Valdivia,Empresario – Presidente de la Confederación Granadina de Empresarios
Colegiados,Consejo Social,Vocal por los intereses sociales por las Organizaciones Empresariales,Dª Encarnación Ximénez de Cisneros Rebollo,Confederación Granadina de Empresarios
Colegiados,Consejo Social,Vocal por los intereses sociales por las Organizaciones de Economía Social,D. Nicolás Chica Martín,Secretario General de Unión de Pequeños Agricultores y Ganaderos
