"Tipo","Denominación","Cargo","Identificación","Perfil"
"Unipersonal","Equipo de Gobierno","Rectora","Pilar Aranda Ramí­rez","Catedrática de Universidad"
"Unipersonal","Equipo de Gobierno","Secretario General","Pedro Mercado Pacheco","Profesor Titular de Universidad"
"Unipersonal","Equipo de Gobierno","Gerente","Marí­a Del Mar Holgado Molina","Profesora Titular de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrectora de Docencia","Marí­a López Jurado","Catedrática de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrector de Investigación y Transferencia","Enrique Herrera Viedma","Catedrático de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrectora de Internacionalización","Dorothy Kelly","Catedrática de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrector de Estudiantes y Empleabilidad","José Antonio Naranjo Rodrí­guez","Profesor Titular de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrectora de Personal Docente e Investigador","Pilar Carrasco Carrasco","Profesora Titular de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrector de Extensión Universitaria","Ví­ctor Jesús Medina Flórez","Catedrático de Universidad"
"Unipersonal","Equipo de Gobierno","Vicerrectora de Responsabilidad Social, Igualdad e Inclusión","Teresa Ortega López","Profesora Titular de Universidad"
"Unipersonal","Equipo de Gobierno","Delegado de la Rectora para la Universidad Digital","Óscar Cordón Garcí­a","Catedrático de Universidad"
"Colegiados","Consejo Social","Presidente por el Consejo de Gobierno de la Junta de Andalucí­a","Gregorio Vicente Jiménez López","Empresario "
"Colegiados","Consejo Social","Consejera / Secretaria por el Consejo de Gobierno de la Junta de Andalucí­a","Virtudes Molina Espinar","Catedrática de Instituto"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria","Pilar Aranda Ramí­rez","Rectora / Catedrática de Universidad"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria","Pedro Mercado Pacheco","Secretario General / Profesor Titular Universidad"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria","Mª Del Mar Holgado Molina","Gerente / Profesora Titular Universidad"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria elegido por el Consejo de Gobierno de la Universidad","Mª Del Mar Holgado Molina","PDI / Profesora Titular de Universidad / Decana de la Facultad de Ciencias Económicas y Empresariales"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria elegido por el Consejo de Gobierno de la Universidad","Ramón Ricardo Rosas Romera","Alumno"
"Colegiados","Consejo Social","Vocal por la Comunidad Universitaria elegido por el Consejo de Gobierno de la Universidad","José Antonio López Fernández","PAS / Responsable de área de los Servicios Jurí­dicos"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Parlamento de Andalucí­a","Luis González Ruiz","Vicepresidente de Caja Granada"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Parlamento de Andalucí­a","Mercedes Mol De Miguel","Empresaria"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Parlamento de Andalucí­a","Antonio Romero Romero","Vicepresidente del Colegio Oficial de Titulados Mercantiles y Empresariales de Granada"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Parlamento de Andalucí­a","Carmen Solera Albero","Abogada"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucí­a ","Adolfo Machado De La Quintana","Presidente Grupo de Empresas Radio Granada"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucí­a ","Concepción González Insúa","Empresaria / Presidenta de la Asociación Granadina de Mujeres Empresarias"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Junta de Andalucí­a ","Javier De Teresa Galván","Médico / Presidente del Colegio Oficial de Médicos de Granada"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","Soledad López Fernández","Inspectora de Trabajo"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","Marí­a José López González","Directora General de CETURSA Sierra Nevada S.A."
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","José Marí­a Rosales De Angulo","Abogado"
"Colegiados","Consejo Social","Vocal por los intereses sociales por el Consejo de Gobierno de la Universidad","Javier Jiménez Ortiz","Empresario "
"Colegiados","Consejo Social","Vocal por los intereses sociales por los Organismos Sindicales","Manuela Martí­nez Jiménez","Secretaria General U.G.T. Granada"
