Formación del profesorado,Rama de conocimiento,Centro,Campus
BIOLOGÍA Y GEOLOGÍA (S01/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
BIOLOGÍA Y GEOLOGÍA (CEUTA) (S38/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
BIOLOGÍA Y GEOLOGÍA (MELILLA) (S30/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
CIENCIAS SOCIALES (S07/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
CIENCIAS SOCIALES (CEUTA) (S42/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
CIENCIAS SOCIALES (MELILLA) (S34/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
"DIBUJO, IMAGEN Y ARTES PLÁSTICAS (S02/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"DIBUJO, IMAGEN Y ARTES PLÁSTICAS (CEUTA) (S39/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"DIBUJO, IMAGEN Y ARTES PLÁSTICAS (MELILLA) (S31/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"ECONOMÍA, EMPRESA Y COMERCIO (S03/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"ECONOMÍA, EMPRESA Y COMERCIO (CEUTA) (S17/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"ECONOMÍA, EMPRESA Y COMERCIO (MELILLA) (S23/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
EDUCACIÓN FÍSICA (S04/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
EDUCACIÓN FÍSICA (CEUTA) (S40/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
EDUCACIÓN FÍSICA (MELILLA) (S32/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
FÍSICA Y QUÍMICA (S05/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
FÍSICA Y QUÍMICA (CEUTA) (S41/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
FÍSICA Y QUÍMICA (MELILLA) (S33/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
FORMACIÓN Y ORIENTACIÓN LABORAL (S06/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
FORMACIÓN Y ORIENTACIÓN LABORAL (CEUTA) (S18/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
FORMACIÓN Y ORIENTACIÓN LABORAL  (MELILLA) (S24/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
HOSTELERÍA Y TURISMO (S08/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
HOSTELERÍA Y TURISMO (CEUTA) (S16/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
HOSTELERÍA Y TURISMO (MELILLA) (S35/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
LENGUA EXTRANJERA (S09/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
LENGUA EXTRANJERA (CEUTA) (S43/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
LENGUA EXTRANJERA (MELILLA) (S36/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
"LENGUA Y LITERATURA, LATÍN Y GRIEGO (S10/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"LENGUA Y LITERATURA, LATÍN Y GRIEGO  (CEUTA) (S19/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"LENGUA Y LITERATURA, LATÍN Y GRIEGO (MELILLA) (S25/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
MATEMÁTICAS (S11/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
MATEMÁTICAS (CEUTA) (S44/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
MATEMÁTICAS (MELILLA) (S37/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
MÚSICA (S12/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
MÚSICA (CEUTA) (S45/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
MÚSICA (MELILLA) (S26/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
ORIENTACIÓN EDUCATIVA (S13/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
ORIENTACIÓN EDUCATIVA (CEUTA) (S20/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
ORIENTACIÓN EDUCATIVA (MELILLA) (S27/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
PROCESOS SANITARIOS (S14/56/1) ,Formación del profesorado,Escuela Internacional de Posgrado,Centro
 PROCESOS SANITARIOS (CEUTA) (S21/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
 PROCESOS SANITARIOS (MELILLA) (S28/56/1),Formación del profesorado,Escuela Internacional de Posgrado,Centro
"TECNOLOGÍA, INFORMÁTICA Y PROCESOS INDUSTRIALES (S15/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"TECNOLOGÍA, INFORMÁTICA Y PROCESOS INDUSTRIALES (CEUTA) (S22/56/1) ",Formación del profesorado,Escuela Internacional de Posgrado,Centro
"TECNOLOGÍA, INFORMÁTICA Y PROCESOS INDUSTRIALES (MELILLA) (S29/56/1)",Formación del profesorado,Escuela Internacional de Posgrado,Centro
