"Titulación","Rama de conocimiento","Centro","Campus"
"Máster Erasmus Mundus en el Color en la Informática y la Tecnología de los Medios / Erasmus Mundus in Color in Informatics and Media Technology (CIMET) (M14.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Erasmus Mundus en Estudios de las Mujeres y de Género (M15.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Erasmus Mundus en Excelencia en Salud Pública / Europubhealth (M18.56.2)","CC. DE LA SALUD","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"Máster Universitario en Abogacía (M99.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Análisis Biológico y Diagnóstico de Laboratorio (M41.56.1)","CC. DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"Máster Universitario en Antropología Física y Forense (M34.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Arqueología (M71.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Artes Visuales y Educación. Un enfoque Construccionista (M06.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"Máster Universitario en Atención Farmacéutica EUROPHARMNES (M22.56.1)","CC. DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"Máster Universitario en Auditoría (M99.56.2)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Avances en Biología Agraria y Acuicultura (M48.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Avances en Calidad y Tecnología Alimentaria (M79.56.1)","CC. DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"Máster Universitario en Avances en Radiología Diagnóstica y Terapéutica y Medicina Física (M29.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Biología Molecular aplicada a Empresas Biotecnológicas (BIOENTERPRISE) (M78.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Biomedicina Regenerativa (M31.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Biotecnología (M38.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Ciencia de Datos e Ingeniería de Computadores (M51.56.2)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"Máster Universitario en Ciencia y Tecnología en Patrimonio Arquitectónico (M80.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Ciencias y Tecnologías Químicas, KHEMIA (M43.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Condicionantes Genéticos, Nutricionales y Ambientales del Crecimiento y Desarrollo (M36.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Conservación, Gestión y Restauración de la Biodiversidad (M64.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Cooperación al Desarrollo, Gestión Pública y de las ONGDs (M25.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA","CENTRO"
"Máster Universitario en Criminalidad e Intervención Social en Menores (M04.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Cuidados de Salud para la Promoción de la Autonomía de las Personas y la Atención a los Procesos del Fin de la Vida (M61.56.1)","CC. DE LA SALUD","FACULTAD DE CIENCIAS DE LA SALUD","CIENCIAS DE LA SALUD"
"Máster Universitario en Cultura de Paz, Conflictos, Educación y Derechos Humanos (M75.56.1)","CC. SOCIALES Y JURÍDICAS","INSTITUTO DE LA PAZ Y LOS CONFLICTOS DE LA UGR",""
"Máster Universitario en Derecho Constitucional Europeo (M03.56.1)","CC. SOCIALES Y JURÍDICAS","DERECHO CONSTITUCIONAL","CENTRO"
"Máster Universitario en Derecho de los Negocios (M83.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Derecho Internacional y Relaciones Internacionales (M84.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Derecho Sanitario, Bioética y Derecho a la Salud en la Unión Europea (M85.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Desarrollo del Software (M52.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"Máster Universitario en Dibujo - Creación, Producción y Difusión (M60.56.1)","ARTES Y HUMANIDADES","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"Máster Universitario en Didáctica de la Matemática (M05.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DE LA EDUCACIÓN","CARTUJA"
"Máster Universitario en Dirección y Gestión Pública (M87.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA","CENTRO"
"Máster Universitario en Diversidad Cultural. Un Enfoque Multidisciplinar y Transfronterizo (MA1.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE EDUCACIÓN Y HUMANIDADES DE MELILLA","MELILLA"
"Máster Universitario en Economía y Organización de Empresas (M02.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"Máster Universitario en Economía/Economics (M56.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"Máster Universitario en Educación Musical: Una Perspectiva Multidisciplinar (M72.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE EDUCACIÓN Y HUMANIDADES DE MELILLA","MELILLA"
"Máster Universitario en Educación Social: Investigación y Desarrollo Profesional (M88.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DE LA EDUCACIÓN","CARTUJA"
"Máster Universitario en Educador / Educadora Ambiental (M54.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DE LA EDUCACIÓN","CARTUJA"
"Máster Universitario en Enseñanza del ELE: Cultura y Metodología (M73.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Estadística Aplicada (M42.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Estructuras (M63.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"Máster Universitario en Estudios de Asia Oriental (MA2.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Estudios e Intervención Social en Inmigración, Desarrollo y Grupos Vulnerables (M09.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE DERECHO","CENTRO"
"Máster Universitario en Estudios Latinoamericanos: Cultura y Gestión (M20.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Estudios Literarios y Teatrales (M90.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Estudios Superiores de Lengua Española (M70.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Filosofía Contemporánea (M16.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Física: Radiaciones, Nanotecnología, Partículas y Astrofísica (M44.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Física y Matemáticas (M53.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Genética y Evolución (M58.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Geofísica y Meteorología (M40.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Geología Aplicada a los Recursos Minerales y Energéticos (M45.56.2)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Gerontología, Dependencia y Protección de los Mayores (M65.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE PSICOLOGÍA","CARTUJA"
"Máster Universitario en Gestión y Seguridad Integral en la Edificación (M74.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE EDIFICACIÓN / E.T.S. DE INGENIERÍAS DE INFORMÁTICA Y DE TELECOMUNICACIÓN","FUENTENUEVA / AYNADAMAR"
"Máster Universitario en Gestión y Tecnologías de Procesos de Negocio (M93.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"Máster Universitario en Hidráulica Ambiental (M62.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"Máster Universitario en Historia: De Europa a América. Sociedades, Poderes, Culturas (EURAME) (MA3.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Historia del Arte. Conocimiento y Tutela del Patrimonio Histórico (M55.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Información y Comunicación Científica (M12.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE COMUNICACIÓN Y DOCUMENTACIÓN","CARTUJA"
"Máster Universitario en Ingeniería Acústica (MA8.56.1)","INGENIERÍA Y ARQUITECTURA","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Ingeniería de Caminos, Canales y Puertos (MA9.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"Máster Universitario en Ingeniería de Telecomunicación (M92.56.1)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"Máster Universitario en Ingeniería Informática (M50.56.2)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍAS INFORMÁTICA Y DE TELECOMUNICACIÓN","AYNADAMAR"
"Máster Universitario en Ingeniería Química (M43.56.3)","INGENIERÍA Y ARQUITECTURA","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Ingeniería Tisular (M35.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Interpretación de Conferencias (MA5.56.1)","ARTES Y HUMANIDADES","FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","CENTRO"
"Máster Universitario en Intervención Psicopedagógica (M11.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DE LA EDUCACIÓN","CARTUJA"
"Máster Universitario en Investigación, Desarrollo, Control e Innovación de Medicamentos (M91.56.1)","CC. DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"Máster Universitario en Investigación e Innovación en Currículum y Formación (M98.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DE LA EDUCACIÓN","CARTUJA"
"Máster Universitario en Investigación en Actividad Física y Deporte (M57.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DEL DEPORTE","CARTUJA"
"Máster Universitario en Investigación Odontológica (M39.56.1)","CC. DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
"Máster Universitario en Investigación y Avances en Inmunología Molecular y Celular (M26.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Investigación y Avances en Medicina Preventiva y Salud Pública (M24.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Investigación y Avances en Microbiología (M46.56.1)","CIENCIAS","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Literatura y Lingüística Inglesas (M19.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Lógica y Filosofía de la Ciencia (MA7.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Marketing y Comportamiento del Consumidor (M01.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"Máster Universitario en Matemáticas (M37.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Neurociencia Cognitiva y del Comportamiento (M30.56.1)","CC. DE LA SALUD","FACULTAD DE PSICOLOGÍA","CARTUJA"
"Máster Universitario en Neurociencia y Dolor (M27.56.1)","CC. DE LA SALUD","FACULTAD DE MEDICINA","CENTRO"
"Máster Universitario en Nutrición Humana (M28.56.1)","CC. DE LA SALUD","FACULTAD DE FARMACIA","CARTUJA"
"Máster Universitario en Óptica y Optometría Avanzadas (M47.56.1)","CIENCIAS","FACULTAD DE CIENCIAS","FUENTENUEVA"
"Máster Universitario en Patrimonio Musical (M68.56.1)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"Máster Universitario en Prevención de Riesgos Laborales (M67.56.1)","INGENIERÍA Y ARQUITECTURA","FACULTAD DE PSICOLOGÍA","CARTUJA"
"Máster Universitario en Problemas Sociales. Dirección y Gestión de Programas Sociales (M08.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS POLÍTICAS Y SOCIOLOGÍA","CENTRO"
"Máster Universitario en Producción e Investigación en Arte (M94.56.1)","ARTES Y HUMANIDADES","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas (S01 a S45.56.1)","CC. SOCIALES Y JURÍDICAS","ESCUELA INTERNACIONAL DE POSGRADO",""
"Máster Universitario en Psicología de la Intervención Social (M10.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE PSICOLOGÍA","CARTUJA"
"Máster Universitario en Psicología General Sanitaria (M33.56.2)","CC. DE LA SALUD","FACULTAD DE PSICOLOGÍA","CARTUJA"
"Máster Universitario en Rehabilitación Arquitectónica (M97.56.2)","INGENIERÍA Y ARQUITECTURA","E.T.S. DE INGENIERÍA DE EDIFICACIÓN","FUENTENUEVA"
"Máster Universitario en Técnicas Cuantitativas en Gestión Empresarial (MA4.56.1)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"Máster Universitario en Técnicas y Ciencias de la Calidad del Agua (IDEA) (M96.56.1)","CIENCIAS","FACULTAD DE CIENCIAS / E.T.S. DE INGENIERÍA DE CAMINOS, CANALES Y PUERTOS","FUENTENUEVA"
"Máster Universitario en Traducción Profesional (M21.56.2)","ARTES Y HUMANIDADES","FACULTAD DE TRADUCCIÓN E INTERPRETACIÓN","CENTRO"
