"Titulaciones","Plazas Ofertadas","Cupo General","Mayores 25","Mayores 40 y 45","Titulados","Discap.","Deportistas","Matric. Totales"
"Administración y Dirección de Empresas",281,271,6,0,3,1,1,282
"Administración y Dirección de Empresas (Ceuta)",70,48,2,0,3,0,0,53
"Administración y Dirección de Empresas (Melilla)",80,38,0,0,2,0,0,70
"Administración y Direcc. de Empresas + Derecho",143,139,0,0,2,0,0,141
"Administración y Direcc. de Empresas + Derecho (Melilla)",50,43,0,0,1,1,0,45
"Antropología Social y Cultural",65,61,2,1,1,0,0,65
"Arqueología",65,62,2,0,1,1,0,66
"Arquitectura",158,149,1,0,2,1,1,154
"Bellas Artes",235,219,5,2,2,1,0,229
"Biología",215,203,2,0,3,0,1,209
"Bioquímica",55,55,0,0,0,1,1,57
"Biotecnología",50,48,0,0,1,0,1,50
"Ciencias Ambientales",150,144,1,0,0,0,0,145
"Ciencias de la Actividad Física y del Deporte",190,173,4,2,2,1,10,192
"Ciencias de la Actividad Física y del Deporte + Ed. Primaria (Melilla)",65,59,1,0,1,2,0,63
"Ciencias Políticas y de la Administración",160,157,2,0,1,0,0,160
"CC. Políticas y de la Administración + Derecho",143,141,2,0,2,0,0,145
"Ciencias y Tecnología de los Alimentos",65,61,2,0,0,0,0,63
"Comunicación Audiovisual",65,63,3,0,1,0,0,67
"Conservación y Restauración de Bienes Culturales",50,46,1,1,1,1,0,50
"Criminología",75,72,2,0,1,1,0,76
"Derecho",500,470,10,5,5,1,0,491
"Economía",237,230,5,0,2,0,0,237
"Educación Infantil  (Ciencias de la Educación)",330,314,6,0,4,2,0,326
"Educación Infantil (C. Magisterio Inmaculada)",130,90,2,0,1,0,0,93
"Educación Infantil (Ceuta)",70,41,4,0,1,0,0,46
"Educación Infantil (Melilla)",65,38,2,0,0,2,0,42
"Educación Primaria (Ciencias de la Educación)",540,518,11,1,7,1,0,538
"Educación Primaria  (C. Magisterio Inmaculada)",260,168,3,0,3,0,0,174
"Educación Primaria (Bilingüe)",67,66,0,0,1,0,0,67
"Educación Primaria (Ceuta)",140,68,2,0,3,0,0,73
"Educación Primaria (Melilla)",65,56,2,0,1,0,0,59
"Educación Social (Ciencias de la Educación)",135,131,2,0,2,0,1,136
"Educación Social (Ceuta)",80,40,2,0,1,0,0,43
"Educación Social (Melilla)",80,43,1,0,0,0,0,44
"Enfermería",200,193,4,3,2,0,0,202
"Enfermería (Ceuta)",135,137,3,1,1,1,0,143
"Enfermería (Melilla)",110,102,2,1,2,4,0,111
"Estadística",60,51,0,0,4,0,0,55
"Estudios Árabes e Islámicos",50,49,0,0,2,0,0,51
"Estudios Franceses",75,73,1,0,1,0,0,75
"Estudios Ingleses",150,145,3,0,1,0,1,150
"Farmacia",320,306,3,0,4,1,1,315
"Filología Clásica",50,45,0,0,1,0,0,46
"Filología Hispánica",75,75,2,0,1,0,0,78
"Filosofía",80,71,2,1,1,0,0,75
"Finanzas y Contabilidad",129,123,3,0,2,1,0,129
"Física",130,123,1,0,2,0,0,126
"Fisioterapia",57,48,2,2,1,3,5,61
"Geografía y Gestión del territorio",60,58,2,0,1,0,0,61
"Geología",75,64,0,0,1,0,0,65
"Historia",150,146,3,1,1,1,0,152
"Historia del Arte",150,126,4,1,3,0,0,134
"Historia y Ciencias de la Música",65,62,1,0,2,1,0,66
"Información y Documentación",100,61,1,0,6,0,0,68
"Ingeniería  de Tecnologías de Telecomunicación",100,98,0,0,1,0,0,99
"Ingeniería Civil",200,198,0,0,3,0,0,201
"Ingeniería de Edificación ",300,134,2,0,9,0,0,145
"Ingeniería Electrónica Industrial",65,64,2,0,0,0,0,66
"Ingeniería Informática",300,293,1,0,3,1,0,298
"Ingeniería Informática + Matemáticas",50,51,0,0,1,0,0,52
"Ingeniería Informática (Ceuta)",50,21,0,0,0,0,0,21
"Ingeniería Química",120,115,1,0,1,1,0,118
"Lenguas Modernas y sus Literaturas",75,70,2,1,0,0,0,73
"Literaturas Comparadas",50,49,1,0,0,0,0,50
"Logopedia",70,67,2,0,1,0,1,71
"Márketing e Investigación de Mercados",129,125,3,0,2,0,0,130
"Matemáticas",110,106,0,0,1,0,0,107
"Medicina",253,227,6,3,3,7,6,252
"Nutrición Humana y Dietética",100,96,2,0,2,1,1,102
"Odontología",85,79,2,1,1,0,0,83
"Óptica y Optometría",135,113,1,0,0,0,0,114
"Pedagogía",135,128,3,0,2,0,0,133
"Psicología",300,281,6,1,3,4,0,295
"Química",90,90,0,0,0,0,0,90
"Relaciones Laborales y Recursos Humanos",365,351,8,0,3,1,0,363
"Relaciones Laborales y Recursos Humanos (Melilla)",50,13,1,0,2,0,0,16
"Sociología",160,149,3,0,0,1,1,154
"Terapia Ocupacional",60,60,2,1,1,0,0,64
"Trabajo Social",180,172,4,2,2,0,0,180
"Traducción e Interpretación (Alemán)",37,36,1,0,1,0,0,38
"Traducción e Interpretación (Árabe)",35,34,1,1,1,0,0,37
"Traducción e Interpretación (Francés)",80,77,2,0,1,1,0,81
"Traducción e Interpretación (Inglés)",120,113,3,0,2,2,0,120
"Turismo",144,139,3,3,2,0,0,147
