"Colectivo","Género","%Coletctivo","%Sector","%Plantilla"
"PAS Func.","Hombre","39.57","13.01","5.86"
"PAS Func.","Mujer","60.43","19.86","8.95"
"PAS Laboral","Hombre","44.38","29.79","13.43"
"PAS Laboral","Mujer","55.63","37.34","16.83"
"PDI Contrat.","Hombre","62.04","48.79","26.80"
"PDI Contrat.","Mujer","37.96","29.85","16.39"
"PDI Func.","Hombre","58.06","12.40","6.81"
"PDI Func.","Mujer","41.94","8.96","4.92"
"Total PAS","Hombre",,"42.80","19.29"
"Total PAS","Mujer",,"57.20","25.79"
"Total PDI","Hombre",,"61.19","33.61"
"Total PDI","Mujer",,"38.81","21.31"
"Total hombres",,,,"52.90"
"Total mujeres",,,,"47.10"
"Total plantilla",,,,"100.00"
