"Colectivo","Grupo","Género","%Grupo","%Colectivo","%Sector","%Plantilla"
"Pdi Contratado","Contr.Doctor","Hombre","53.96","14.24","5.33","3.31"
"Pdi Contratado","Contr.Doctor","Mujer","46.04","12.15","4.55","2.83"
"Pdi Contratado","Ayud.Doctor","Hombre","53.13","6.58","2.46","1.53"
"Pdi Contratado","Ayud.Doctor","Mujer","46.88","5.80","2.17","1.35"
"Pdi Contratado","Asociado","Hombre","70.05","21.90","8.21","5.10"
"Pdi Contratado","Asociado","Mujer","29.95","9.37","3.51","2.18"
"Pdi Contratado","Ayudante","Hombre","60.00","0.23","0.09","0.05"
"Pdi Contratado","Ayudante","Mujer","40.00","0.15","0.06","0.04"
"Pdi Contratado","Asoc.Salud","Hombre","67.79","10.91","4.09","2.54"
"Pdi Contratado","Asoc.Salud","Mujer","32.21","5.19","1.94","1.21"
"Pdi Contratado","Colaborador","Hombre","51.68","5.96","2.23","1.39"
"Pdi Contratado","Colaborador","Mujer","48.32","5.57","2.09","1.30"
"Pdi Contratado","Otros","Hombre","56.00","1.08","0.41","0.25"
"Pdi Contratado","Otros","Mujer","44.00","0.85","0.32","0.20"

