"Colectivo","Grupo","Género","%Grupo","%Colectivo","%Sector","%Plantilla"
"Pas Funcionario","A1","Hombre","54,84","8,98","4,04","1,53"
"Pas Funcionario","A1","Mujer","45,16","7,39","3,33","1,26"
"Pas Funcionario","A2","Hombre","50,60","8,98","4,04","1,53"
"Pas Funcionario","A2","Mujer","49,40","8,76","3,95","1,49"
"Pas Funcionario","C1","Hombre","42,26","22,49","10,13","3,84"
"Pas Funcionario","C1","Mujer","57,74","30,73","13,84","5,24"
"Pas Funcionario","C2","Hombre","43,33","5,49","2,47","0,94"
"Pas Funcionario","C2","Mujer","56,67","7,18","3,23","1,22"
"Pas Laboral","G1","Hombre","57,69","1,30","0,71","0,27"
"Pas Laboral","G1","Mujer","42,31","0,95","0,52","0,20"
"Pas Laboral","G2","Hombre","55,10","2,34","1,28","0,49"
"Pas Laboral","G2","Mujer","44,90","1,90","1,05",".40"
"Pas Laboral","G3","Hombre","61,85","27,77","15,26","5,78"
"Pas Laboral","G3","Mujer","38,15","17,13","9,42","3,57"
"Pas Laboral","G4","Hombre","24,38","11,85","6,51","2,47"
"Pas Laboral","G4","Mujer","75,62","36,76","20,21","7,65"
"Pdi Contratado","Contr.Doctor","Hombre","53,96","14,24","5,33","3,31"
"Pdi Contratado","Contr.Doctor","Mujer","46,04","12,15","4,55","2,83"
"Pdi Contratado","Ayud.Doctor","Hombre","53,13","6,58","2,46","1,53"
"Pdi Contratado","Ayud.Doctor","Mujer","46,88","5,80","2,17","1,35"
"Pdi Contratado","Asociado","Hombre","70,05","21,90","8,21","5,10"
"Pdi Contratado","Asociado","Mujer","29,95","9,37","3,51","2,18"
"Pdi Contratado","Ayudante","Hombre","60,00","0,23","0,09","0,05"
"Pdi Contratado","Ayudante","Mujer","40,00","0,15","0,06","0,04"
"Pdi Contratado","Asoc.Salud","Hombre","67,79","10,91","4,09","2,54"
"Pdi Contratado","Asoc.Salud","Mujer","32,21","5,19","1,94","1,21"
"Pdi Contratado","Colaborador","Hombre","51,68","5,96","2,23","1,39"
"Pdi Contratado","Colaborador","Mujer","48,32","5,57","2,09","1,30"
"Pdi Contratado","Otros","Hombre","56,00","1,08","0,41","0,25"
"Pdi Contratado","Otros","Mujer","44,00","0,85","0,32","0,20"
"Pdi Funcionario","CU","Hombre","78,36","21,33","13,34","8,29"
"Pdi Funcionario","CU","Mujer","21,64","5,89","3,68","2,29"
"Pdi Funcionario","CEU","Hombre","73,53","1,16","0,72","0,45"
"Pdi Funcionario","CEU","Mujer","26,47","0,42","0,26","0,16"
"Pdi Funcionario","TU","Hombre","60,16","39,41","24,64","15,31"
"Pdi Funcionario","TU","Mujer","39,84","26,10","16,32","10,14"
"Pdi Funcionario","TEU","Hombre","55,66","2,74","1,71","1,06"
"Pdi Funcionario","TEU","Mujer","44,34","2,18","1,36","0,85"
"Pdi Funcionario","OTROS","Hombre","47,06","0,37","0,23","0,14"
"Pdi Funcionario","OTROS","Mujer","52,94","0,42","0,26","0,16"
