"PERSONAL", "PLANTILLA","%", "TOTAL"
"Docente funcionario (Régimen Gral.Seg.Social.)", 6475830,22.53,1459005
"Docente Interino",121242,30.70,37221
"Docente Contratado LOU Tiempo Completo", 19086904,31.50,6012375
"Docente Contratado LOU Tiempo Parcial",3362342,33.10,1112935,
"Residencia Docente Contratado",1064565,30.70,326821
"PAS Funcionario", 28994241,25.20,7306549
"PAS Funcionario Interino", 1130270,30.70,346993
"Trienios PAS Funcionario", 2102118,25.20,529734
"Residencia PAS Funcionario",178672,25.20,45025
"PAS Laboral", 37396490,34.10,12752203
"Residencia PAS Laboral",249043,34.10,84924
"TOTAL COSTA SEGURIDAD SOCIAL",,,30013784
