"CONCEPTO","IMPORTES","IMPORTES TOTALES"
"PERSONAL DOCENTE E INVESTIGADOR", ,"156515459,00"
"FUNCIONARIO","121115083,00",
"Retribuciones Básicas y Complementarias","109045724,00",
"Trienios","10021817,00",
"Indemnización por Residencia","801317,00",
"Cuota Patronal de la Seguridad Social","1496226,00",
"Complemento por Acción Social a prestación I.T.", -250000,
"CONTRATADO","35400375,00",
"Retribuciones Básicas y Complementarias","25100038,00",
"Trienios","1823641,00",
"Indemnización por Residencia","1064565,00",
"Cuota Patronal de la Seguridad Social","7452131,00",
"Complemento por Acción Social a prestación I.T.", -40000,
"PERSONAL DE ADMINISTRACION Y SERVICIOS",, 91120233
"FUNCIONARIO","40533601,00",
"Retribuciones Básicas y Complementarias","30124511,00",
"Trienios","2102118,00",
"Indemnización por Residencia","178672,00",
"Cuota Patronal de la Seguridad Social","8228301,00",
"Complemento por Acción Social a prestación I.T.", -100000,
"LABORAL","50586632,00",
"Sueldo, Trienios y Complementos","37910462,00",
"Indemnización por Residencia","249043,00",
"Cuota Patronal de la Seguridad Social","12837127,00",
"Complemento por Acción Social a prestación I.T.", -410000,
"Cargos AcadÃ©micos",,2991204
"Consejo Social",,55195
"Tribunales Pruebas de Acceso",,300000
"Coordinación Pruebas de Acceso",, 15000
"Productividad y Artículo 32 Estatutos",, 3000
"Personal de Colaboración Social INEM",, 300000
"Plan de Formación del PAS",, 200000
"Plan de Acción Social",,869331
"Indemnización e incentivos por Jubilación",,4300000
"Beneficios en Precios Públicos Personal Universidad",, 840000
"Complemento a la Prestación por I.T.",, 800000
"Estimación Reducción Ley 3/2012 Junta Andalucía",, -"11000000,00"
"TOTAL GASTOS DE PERSONAL 2014",,247309422
