"ESCALA","GRUPO","PLANTILLA","SUELDO MENSUAL","TOTAL ANUAL INDIVIDUAL","TOTAL ANUAL´"
"Técnica de Universidad", A1,"46,00","1109,05","14677,32","675156,72"
"Técnica de Gestión de Universidad (Informática)", A1,"33,00","1109,05","14677,32","484351,56"
"Facultativo de Biblioteca de Universidad",A1,"36,00","1109,05","14677,32","528383,52"
"Cuerpos y Escalas de otros Organismos",A1,"2,00","1109,05","14677,32","29354,64"
"Técnica Profesional",A1,"38,00","1109,05","14677,32","557738,16"
"TOTAL GRUPO A1",,"155,00",,,"2274984,60"
"Gestión de Universidad",A2,"121,00","958,98","12906,52","1561688,92"
"Gestión de Universidad (Informática)",A2,"23,00","958,98","16906,52","296849,96"
"Ayudante de Biblioteca de Universidad",A2,"17,00","958,98","12906,52","219410,84"
"Gestión Profesional", A2,"7,00","958,98","12906,52","90345,64"
"TOTAL GRUPO A2",,"168,00",,,"2168295,36"
"Administrativa de Universidad",C1,"482,00","720,02","9884,84","4764492,88"
"Administrativa de Universidad (Informática)",C1,"9,00","720,02","9884,84","88963,56"
"Cuerpos y Escalas de otros Organismos",C1,"13,00","720,02","9884,84","128502,92"
"TOTAL GRUPO C1",,"504,00",,,"4981959,36"
"Auxiliar de Universidad",C2,"67,00","599,25","8378,58","561364,86"
"Auxiliar de Universidad Interino",C2,"53,00","599,25","8378,58","444064,74"
"TOTAL GRUPO C2",,"120,00",,,"1005429,60"
"TOTAL RETRIBUCIONES BÁSICAS",,"947,00",,,"10430668,92"
