Colectivo,Grupo,Género,%Grupo,%Colectivo,%Sector,%Plantilla
Pdi Funcionario,CU,Hombre,"78,36","21,33","13,34","8,29"
Pdi Funcionario,CU,Mujer,"21,64","5,89","3,68","2,29"
Pdi Funcionario,CEU,Hombre,"73,53","1,16","0,72","0,45"
Pdi Funcionario,CEU,Mujer,"26,47","0,42","0,26","0,16"
Pdi Funcionario,TU,Hombre,"60,16","39,41","24,64","15,31"
Pdi Funcionario,TU,Mujer,"39,84","26,1","16,32","10,14"
Pdi Funcionario,TEU,Hombre,"55,66","2,74","1,71","1,06"
Pdi Funcionario,TEU,Mujer,"44,34","2,18","1,36","0,85"
Pdi Funcionario,OTROS,Hombre,"47,06","0,37","0,23","0,14"
Pdi Funcionario,OTROS,Mujer,"52,94","0,42","0,26","0,16"
