CATEGORÍA,TIPO,SUELDO (INDIVIDUAL MENSUAL),COMPL DEST. (INDIVIDUAL MENSUAL),COMPL. ESPECIF. (INDIVIDUAL MENSUAL),PLANT,SUELDO (TOTAL ANUAL),COMPLEMENTO DESTINO (TOTAL ANUAL),COMPLEMENTO ESPECÍFICO (TOTAL ANUAL),TOTAL INDIVIDUAL (TOTAL ANUAL),TOTAL
Catedrático de Universidad,TC,"1109,05","868,93","979,71",587,"8615586,84","7140866,74","8051256,78","40558,28","23807710,36"
Titular de Universidad, TC,"1109,05","795,85","457,06",1208,"17730202,56","13459415,2","7729798,72","32218,06","38919416,48"
Titular de Universidad (Régimen Gral.Seg.Social.), TC,"1109,05","795,85","457,06",201,"2950141,32","2239521,9","1286166,84","32218,06","6475830,06"
Tilular de Universidad, TP,"480,44","542,76",,2,"14268,01","15197,3",0,"14732,65","29465,31"
Catedrático de Escuela Universitaria, TC,"1109,05","795,85","457,06",34,"499028,88","378824,6","217560,56","32218,06","1095414,04"
Titular de Escuela Unversitaria,TC,"1109,05","698,2","282,19",103,"1511763,96","1006804,4","406917,98","28402,78","295486,34"
Titular de Escuela Unversitaria,TP,"480,44","424,7",,1,"7134,01","5945,87",0,"13079,87","13079,87"
Titural de Universidad Interino,TC,"1109,05","798,85","457,06",2,"29354,64","22283,8","12797,68","32218,06","64436,12"
Titular de Escuela Universitaria Interino,TC,"1109,05","698,2","282,19",2,"29354,64","19549,6","7901,32","28402,78","56805,56"
Profesorado Emérito,TC,"2267,56",0,0,8,"217685,76",0,0,"27210,72","217685,76"
Profesor de Enseñanza Secundaria y similar en comisión de servicio, TC,"1109,05","582,92","564,22",6,"88063,92","48965,28","47394,48","30737,28","184423,68"
Maestría Industrial y similar en comisión de servicio, TC,"958,98","582,92","564,22",3,"38629,44","224482,64","23697,24","28936,44","86809,32"
