CATEGORÍA,GRUPO,SUELDO (INDIV. MENSUAL),COMPL. CATEGORÍA (INDIV. MENSUAL),COMPL. PRODUCT. (INDIV. ANUAL),COMPL. HOMOLOG. (INDIV. ANUAL),COMPL. VESTUARIO (INDIV. ANUAL),TOTAL ANUAL INDIVIDUAL,PLANTILLA,TOTAL ANUAL
T.S.Deportes,I,"1525,84","914,26","4270,73","932,67","252,67","39314,79",4,"157259,16"
T.S.Prensa e información,I,"1525,84","914,26","4270,73","932,67","252,67","39314,79",2,"78629,57"
T.S.Apoyo a la docencia e investigación,I,"1525,84","1080,63","4270,73","932,67","252,67","41311,23",9,"371801,03"
Titulado Superior,I,"1525,84","914,26","3630,32","932,67","252,67","38674,38",10,"386743,76"
T.S.Actividades culturales,I,"1525,84","914,26","4270,73","932,67","252,67","39314,79",1,"39314,79"
Titulado de Grado Medio,II,"1285,57","728,30","3630323,00","932,67","252,67","32838,75",11,"361226,20"
T.G.M. Apoyo a la docencia e investigación,II,"1285,57","876,42","3630,32","932,67","336,90","34700,42",28,"971611,69"
T.G.M. Deportes,II,"1285,57","728,30","3630,32","932,67","336,90","32922,98",6,"197537,87"
T.G.M. Prevensión,II,"1285,57","876,42","3630,32","932,67","252,67","34616,19",1,"34616,19"
Trabajador social,II,"1285,57","728,30","3630,32","932,67","252,67","32838,75",3,"98516,24"
T.E. Deportes,III,"1124,57","453,93","2775,77","932,67","336,90","26361,05",2,"52722,10"
T.E. Prensa e Información,III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",2,"52553,63"
Conductor mecánico,III,"1124,57","567,90","2775,77","932,67","505,34","27897,13",5,"139485,66"
Delineante,III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",1,"26276,82"
Encargado equipo conserjería,III,"1124,57","617,64","3209,97","932,67","505,34","28930,61",59,"1649044,85"
Encargado equipo,III,"1124,57","731,83","3209,97","932,67","505,34","30298,49",21,"636268,32"
Intérprete/Informador,III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",3,"78830,45"
T.E.S.T.O.E.M.,III,"1124,57","567,90","2775,77","932,67","505,34","27897,13",73,"2035490,80"
T.E. Telecomunicaciones,III,"1124,57","453,93","2775,77","932,67","505,34","26529,49",2,"53058,98"
T.E. Biblioteca archivo y museos,III,"1124,57","453,93","2775,77","932,67","336,90","26361,05",127,"3347853,05"
T.E. Laboratorio,III,"1124,57","567,90","2775,77","932,67","336,90","27728,69",96,"2661954,02"
T.E. Medios audiovisuales,III,"1124,57","453,93","2775,77","932,67","336,90","26361,05",3,"79083,14"
T.E. Almacén,III,"1124,57","453,93","2775,77","932,67","336,90","26361,05",2,"52722,10"
T.E. Prevención riesgos laborales,III,"1124,57","567,90","2775,77","932,67","252,67","27664,46",5,"138222,28"
T.E. Administración (a extinguir),III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",5,"131384,08"
T.E. Actividades Culturales, III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",1,"26276,82"
T.E. Hostelería,III,"1124,57","453,93","2775,77","932,67","505,34","26529,49",19,"504060,34"
Técnico Especialista,III,"1124,57","453,93","2775,77","932,67","252,67","26276,82",95,"2496297,90"
T.A. Servicio conserjería,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",232,"5216371,87"
T.A. Servicio limpieza,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",170,"3822341,45"
T.A.S.T.O.E.M.,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",65,"1461483,50"
T.A. Instalaciones deportivas,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",18,"404718,51"
T.A. Hotelería,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",55,"1236639,88"
T.A. Laboratorio,IV,"983,76","309,37","2577,51","932,67","336,90","22315,92",9,"200843,26"
T.A. Seguridad (a extinguir),IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",3,"67453,08"
T.A. Administración,IV,"983,76","309,37","2577,51","932,67","505,34","22484,36",2,"44968,72"
T.A. Almacén,IV,"983,76","309,37","2577,51","932,67","336,90","22315,92",2,"44631,84"
Modelo en vivo,IV,"983,76","309,37",,"932,67","336,90","19738,41",4,"78953,63"
Expendedores de tickes,IV,,,,,,,2,"14778,37"
