,,,,,,
DESDE 1/6 AL 31/12 DE 2010,,,,,,
,,,,,,
COMPLEMENTO PRODUCTIVIDAD 2010 PAS FUNCIONARIO,,,,,,
,1ER TRAMO,2º TRAMO,3er TRAMO,4º TRAMO,TOTAL,
NIVELES 28-29,"793,08","1065,70","2057,04","1239,18","5155,00",
NIVELES 26-27,"793,08","974,49","1600,04","1055,78","4423,39",
NIVELES 24-25,"793,08","850,55","973,50","934,00","3551,13",
NIVELES 21-22-23,"793,08","825,79","854,53","758,39","3231,79",
NIVELES 19-20,"793,08","744,50","494,68","743,51","2775,77",
NIVELES 15-18,"793,08","718,72","421,33","644,34","2577,47",
,,,,,,
COMPLEMENTO PRODUCTIVIDAD 2010 PAS LABORAL,,,,,,
,,TRAMOS,,,,
,,"1,00",2,"3,00",4,TOTAL
GRUPO I,"TS APOYO DOCENCIA 
DIRECTOR SERVICIO","793,08","955,66","1503,87","1018,12","4270,73"
,"TS APOYO DOCENCIA  
SUBDIRECTOR SERVICIO","793,08","955,66","1503,87","1018,12","4270,73"
,TITULADO SUPERIOR,"793,08","875,36","1104,37","857,51","3630,32"
GRUPO II,"TGM APOYO DOCENCIA 
DIRECTOR SERVICIO","793,08","822,81","841,65","752,43","3209,97"
,"TGM APOYO DOCENCIA 
SUBDIRECTOR SERVICIO","793,08","822,81","841,65","752,43","3209,97"
,TITULADO GRADO MEDIO,"793,08","822,81","841,65","752,43","3209,97"
GRUPO III,ENCARGADO EQUIPO,"793,08","822,81","841,65","752,43","3209,97"
,TEC ESPECIALISTA,"793,08","768,29","470,89","743,51","2775,77"
GRUPO IV,TODO EL PERSONAL NO INCLUIDO ,"793,08","718,72","421,33","644,38","2577,51"
,,,,,,
,,,,,,
COMPLEMENTO HOMOLOGACION 2010,,,,,,
ANUAL,"932,66",,,,,
CUATRIMESTRAL,"310,89",,,,,
,,,,,,
