Subida por concepto:,"-5,00%","-5,00%","0,30%",,,,,"0,30%",,,,,
GRUPO PROFESIONAL - CATEGORIA,SUELDO,C.CATEG.,C.HOMOL., TOTAL ,SUELDO, C.CATEG. ,C.HOMOL.,VESTUARIO,TOTAL,ANUAL,TRIENIO,TRIENIO,%
Grupo I,MENSUAL,MENSUAL,MENSUAL, MENSUAL ,ANUAL, ANUAL ,ANUAL,ANUAL,ANUAL,2010,2010,2009,INC.
T.S. Apoyo a la Docencia e Investigación," 1525,84       ","1080,63","81,81"," 2688,28       ","22887,60"," 12967,56       ","981,75","252,67","37089,58","33860,93"," 42,42       ","44,51","0,30"
"T.S. Servicio Técnico de Obras, Equipamiento y Manten."," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
T.S. de Prensa e Información," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
T.S. Deportes," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32156,74",,,
Titulado Superior Informática (a extinguir)," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
Profesor Instituto de Idiomas," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
T.S. Administración (a extinguir)," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
Titulado Superior," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
T.S.Actividades Culturales," 1525,84       ","914,26","81,81"," 2521,91       ","22887,60"," 10971,12       ","981,75","252,67","35093,14","32082,41",,,
T.S.Prevención ," 1525,84       ","1080,63","81,81"," 2688,28       ","22887,60"," 12967,56       ","981,75","252,67","37089,58","33860,93",,,

GRUPO PROFESIONAL - CATEGORIA,SUELDO,C.CATEG.,C.HOMOL., TOTAL ,SUELDO, C.CATEG. ,C.HOMOL.,VESTUARIO,TOTAL,ANUAL,TRIENIO,TRIENIO,%
Grupo II,MENSUAL,MENSUAL,MENSUAL, MENSUAL ,ANUAL, ANUAL ,ANUAL,ANUAL,ANUAL,2010,2010,2009,INC.
T.G.M. Apoyo a la Docencia e Investigación ," 1285,56       ","876,42","81,81"," 2243,79       ","19283,40"," 10517,04       ","981,75","336,90","31119,09","28381,13"," 33,94       ","35,62","0,30"
T.G.M. Escuelas Infantiles," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","336,90","29341,65","26797,76",,,
T.G.M. Actividades Culturales," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
Trabajador Social," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
T.G.M. Medios Audiovisuales," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
T.G.M. Deportes," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","336,90","29341,65","26797,76",,,
T.G.M. de Prensa e Información," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
T.G.M. S.T.O.E.M.," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
Titulado Grado Medio Informática (a extinguir)," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
Titulado Grado Medio Administración (a extinguir)," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
Titulado Grado Medio," 1285,56       ","728,30","81,81"," 2095,67       ","19283,40"," 8739,60       ","981,75","252,67","29257,42","26723,42",,,
T.G.M. Prevención ," 1285,56       ","876,42","81,81"," 2243,79       ","19283,40"," 10517,04       ","981,75","252,67","31034,86","28306,79",,,

GRUPO PROFESIONAL - CATEGORIA,SUELDO,C.CATEG.,C.HOMOL., TOTAL ,SUELDO, C.CATEG. ,C.HOMOL.,VESTUARIO,TOTAL,ANUAL,TRIENIO,TRIENIO,%
Grupo III,MENSUAL,MENSUAL,MENSUAL, MENSUAL ,ANUAL, ANUAL ,ANUAL,ANUAL,ANUAL,2010,2010,2009,INC.
Encargado de Equipo," 1124,57       ","731,83","81,81"," 1938,21       ","16868,55"," 8781,96       ","981,75","505,34","27137,60","24725,48","25,50","26,75","0,30"
Encargado de Equipo de Conserjería," 1124,57       ","617,84","81,81"," 1824,22       ","16868,55"," 7414,08       ","981,75","505,34","25769,72","23506,80",,,
"Téc. Especialista Serv. Técnico Obras, Equip. Y Manteni."," 1124,57       ","567,90","81,81"," 1774,28       ","16868,55"," 6814,80       ","981,75","505,34","25170,44","22973,05",,,
