"RETRIBUCIONES COMPLEMENTO POR DOCTORADO PROFESORES ASOCIADOS LABORALES AÑO "2014,"",,,,,,,
,,,,,,,
"CATEGORIA UGA1L",DEDICACION,COMPL.DOCTOR,,,,,
"                                UGCSL",,,,,,,
,6H,,,,,,
DEA,,"20,46",,,,,
DOCTORADO,,"51,16",,,,,
,,,,,,,
,5H,,,,,,
DEA,,"17,05",,,,,
DOCTORADO,,"42,63",,,,,
,,,,,,,
,4H,,,,,,
DEA,,"13,64",,,,,
DOCTORADO,,"34,11",,,,,
,,,,,,,
,3H,,,,,,
DEA,,"10,23",,,,,
DOCTORADO,,"25,58",,,,,
,,,,,,,
,2H,,,,,,
DEA,,"6,82",,,,,
DOCTORADO,,"17,05",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
