CUERPO,DEDC.,SUELDO,C.DEST.,C.ESPEC.,TOTAL MES,TRIENIOS,P.EXTRAS> SUELDO ,P. EXTRAS> C.DEST.,P. EXTRAS>TRIENIOS,P.ADIC.C.ESP.
DTOR. GRAL.,,,"1151,23",,,"Grupo A1: 42,65",,,"Grupo A1: 26,31",(C.GENERAL)
CATEDR.UNIV.,T.C.,"1109,05","868,93","979,71","2957,69","Grupo A2: 34,77","684,36","868,93","Grupo A2: 25,35","979,71"
NIVEL 29,6H,,,,,"Grupo C1: 26,31",,,"Grupo C1: 22,73",
-,5H,,,,,"Grupo C2: 17,90",,,"Grupo C2: 17,73",
-,4H,,,,,"Grupo E:   13,47",,,"Grupo E:   13,47",
-,3H,,,,,,,,,
,,,,,,,,,,
TIT. UNIV.,T.C.,"1109,05","795,85","457,06","2361,96",,"684,36","795,85",,"457,06"
CATED. EE.UU.,6H,,,,,,,,,
NIVEL 27,5H,,,,,,,,,
-,4H,,,,,,,,,
-,3H,,,,,,,,,
,,,,,,,,,,
TITULAR EE.UU.,T.C.,"1109,05","698,2","282,19","2089,44",,"684,36","698,2",,"282,19"
NIVEL 26,6H,,,,,,,,,
-,5H,,,,,,,,,
-,4H,,,,,,,,,
-,3H,,,,,,,,,
