CATEGORIA,DEDIC.,SUELDO,C.SINGULAR CATEG.,C.DOCTOR,TOTAL MES,P.EXTRAS,COEFIC.2014
,,,,,,,
AYUDANTE,T.C.,"720,88","814,39",,"1535,27","1259,23",65% T.U.
UGAYU,,,,,,,
AYUDANTE ( D.E.A.),T.C.,"720,88","814,39","47,24","1582,51","1306,46",65% + 2% T.U.
,,,,,,,
AYUDANTE (DOCTOR),T.C.,"720,88","814,39","118,10","1653,37","1377,33",65% + 5% T.U.
,,,,,,,
P. AYUDANTE DOCTOR,T.C.,"998,15","1127,62",,"2125,76","1743,54",90% T.U.
UGADR,,,,,,,
,,,,,,,
P. CONTRATADO DOCTOR,T.C.,"1109,05","1252,91",,"2361,96","1937,27",100% T.U.
UGCDR,,,,,,,
,,,,,,,
COLABORADOR,T.C.,"942,69","1064,97",,"2007,66","1646,68",85% T.U.
UGCLB,,,,,,,
COLABORADOR (D.E.A.),T.C.,"942,69","1064,97","47,24","2054,90","1693,92",85% + 2% T.U.
,,,,,,,
COLABORADOR (DOCTOR),T.C.,"942,69","1064,97","118,10","2125,76","1764,78",85% + 5% T.U.
,,,,,,,
P.VISITANTE (UGVLC),T.C.,"887,22","597,47",,"1484,69","1484,69",
P.VISITANTE DOCTOR (UGVLC),T.C.,"887,22","921,13",,"1808,35","1808,35",
,,,,,,,
INTERINOS,T.C.,"665,43","751,75",,"1417,18","1162,37",60 % T.U.
"UGISP, UGISD",,,,,,,
ASOCIADOS E INTERINOS,6H,"332,72","375,87",,"708,59","581,18",30 % T.U.
"UGA1L, UGISP, UGISD",5H,"277,26","313,23",,"590,49","484,32",25 % T.U.
-,4H,"221,81","250,58",,"472,39","387,45",20 % T.U.
-,3H,"166,36","187,94",,"354,30","290,59",15 % T.U.
-,2H,"110,91","125,29",,"236,20","193,73",10 % T.U.
,,,,,,,
ASOC. CC DE LA SALUD,,"266,70",,,,,
UGCSL,,,,,,,
