GRUPO PROFESIONAL - CATEGORÍA,DENOMINACIÓN,SUELDO MENSUAL,C.CATEG. MENSUAL,C.HOMOL. MENSUAL,TOTAL ANUAL,SUELDO ANUAL,C.CATEG. ANUAL,C.HOMOL. ANUAL,VESTUARIO ANUAL,TOTAL ANUAL,TRIENIO,% INC.
Grupo I  ,T.S. Apoyo a la Docencia e Investigación,"1525,84","1080,63","77,72","2684,19","22887,6","12967,56","932,67","252,67","37040,5","42,42",0
Grupo I  ,"T.S. Servicio Técnico de Obras, Equipamiento y Manten.","1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,T.S. de Prensa e Información,"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,T.S. Deportes,"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,Titulado Superior Informática (a extinguir),"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,Profesor Instituto de Idiomas,"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,T.S. Administración (a extinguir),"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,Titulado Superior,"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,T.S.Actividades Culturales,"1525,84","914,26","77,72","2517,82","22887,6","10971,12","932,67","252,67","35044,06",,
Grupo I  ,T.S.Prevención ,"1525,84","1080,63","77,72","2684,19","22887,6","12967,56","932,67","252,67","37040,5",,
Grupo II,T.G.M. Apoyo a la Docencia e Investigación ,"1285,56","876,42","77,72","2239,7","19283,4","10517,04","932,67","336,9","31070,01","33,94",0
Grupo II,T.G.M. Escuelas Infantiles,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","336,9","29292,57",,
Grupo II,T.G.M. Actividades Culturales,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,Trabajador Social,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,T.G.M. Medios Audiovisuales,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,T.G.M. Deportes,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","336,9","29292,57",,
Grupo II,T.G.M. de Prensa e Información,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,T.G.M. S.T.O.E.M.,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,Titulado Grado Medio Informática (a extinguir),"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,Titulado Grado Medio Administración (a extinguir),"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,Titulado Grado Medio,"1285,56","728,3","77,72","2091,58","19283,4","8739,6","932,67","252,67","29208,34",,
Grupo II,T.G.M. Prevención ,"1285,56","876,42","77,72","2239,7","19283,4","10517,04","932,67","252,67","30985,78",,
Grupo III,Encargado de Equipo,"1124,57","731,83","77,72","1934,12","16868,55","8781,96","932,67","505,34","27088,52","25,5",0
Grupo III,Encargado de Equipo de Conserjería,"1124,57","617,84","77,72","1820,13","16868,55","7414,08","932,67","505,34","25720,64",,
Grupo III,"Téc. Especialista Serv. Técnico Obras, Equip. Y Manteni.","1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","505,34","25121,36",,
Grupo III,Conductor Mecánico,"1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","505,34","25121,36",,
Grupo III,Técnico Especialista Laboratorio ,"1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","336,9","24952,92",,
Grupo III,Técnico Especialista Artes Gráficas,"1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","336,9","24952,92",,
Grupo III,Técnico Especialista Reprografía y Publicaciones,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Técnico Especialista Hostelería,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","505,34","23753,72",,
Grupo III,Coordinador de Servicios de Conserjería,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","505,34","23753,72",,
Grupo III,Técnico Especialista Medios Audiovisuales,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Técnico Especialista Escuelas Infantiles,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Delineante,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Interprete / Informador,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Técnico Especialista Actividades Culturales,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Técnico Especialista Deportes,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Técnico Especialista de Prensa e Información,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Técnico Especialista de Almacén,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Técnico Especialista de Telecomunicaciones,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","505,37","23753,75",,
Grupo III,"Técnico Especialista Biblioteca, Archivo y Museos","1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","336,9","23585,28",,
Grupo III,Operador (a extinguir),"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Técnico Especialista Administración (a extinguir),"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo III,Maestro de Taller (a extinguir),"1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","336,9","24952,92",,
Grupo III,Técnico Especialista Prevención ,"1124,57","567,9","77,72","1770,19","16868,55","6814,8","932,67","252,67","24868,69",,
Grupo III,Técnico Especialista ,"1124,57","453,93","77,72","1656,22","16868,55","5447,16","932,67","252,67","23501,05",,
Grupo IV,"Técnico Auxiliar Servicio Técnico de Obras, Equip. y Manten.","983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85","25,5",0
Grupo IV,Técnico Auxiliar de Seguridad (a extinguir),"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Motorista,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxiliar de Laboratorio,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41","17,04",0
Grupo IV,Modelo en Vivo,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,Socorrista,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,Técnico Auxiliar de Hostelería,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxililar de Reprografía y Publicaciones,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,Técnico Auxiliar del Servicio de Conserjería,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxiliar Medios Audiovisuales,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,"Técnico Auxiliar Bibliotecas, Archivos y Museos","983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,Técnico Auxiliar Instalaciones Deportivas,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxiliar de Limpieza,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxiliar de Almacén,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","336,9","19738,41",,
Grupo IV,Telefonista,"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","505,34","19906,85",,
Grupo IV,Técnico Auxiliar de Administración (a extinguir),"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","252,67","19654,18",,
Grupo IV,Auxiliar de Grabación (a extinguir),"983,76","309,37","77,72","1370,85","14756,4","3712,44","932,67","252,67","19654,18",,
Grupo V,"Ayudante Oficio Servicio Técnico de Obras, Equip. Y Manten.","931,83","271,59","77,72","1281,14","13977,45","3259,08","932,67","505,34","18674,54","12,8",0
Grupo V,Ayudante Servicios de Limpieza,"931,83","190,28","77,72","1199,83","13977,45","2283,36","932,67","505,34","17698,82",,
Grupo V,Ayudante Servicio de Conserjería,"931,83","190,28","77,72","1199,83","13977,45","2283,36","932,67","505,34","17698,82",,
