-,1º,2º,3º,4º,5º,6º
C.U.,"148,58","297,16","445,74","594,32","742,9","891,48"
T.U. Y C.E.U.,"120,34","240,68","361,02","481,36","601,7","722,04"
T.E.U.,"101,84","203,68","305,52","407,36","509,2","611,04"
-,CARGOS ACADEMICOS (MENSUAL),,,,,
,,,,,,
Rector Universidad,,,,"1424,8",,
Vicerrector,,,,"644,12",,
Decano o Director Centro,,,,"502,22",,
"Vicedecano, Subdirector, Secretario",,,,"271,01",,
Director de Departamento,,,,"363,41",,
Secretario de Departamento,,,,"195,36",,
Director de Instituto Universitario,,,,"363,41",(Desde Enero 2002 homologado a Director de Departamento),
Coordinador de COU,,,,"141,32",,
-,COMPLEMENTOS AUTONOMICOS,,,,,
,,,,,,
MARZO Y SEPTIEMBRE,,,,"757,46 /Tramo",,
-,,ANUAL,,"1514,92 /Tramo",,
