Denominación , Año 2009 , Objetivo final año 5 
Número de estudiantes extranjeros de grado ,4141,5000
Número de estudiantes en estudios de máster ,3475,4000
Número de estudiantes de doctorado ,3157,3500
Porcentaje de estudiantes extranjeros en estudios máster (media últimos 3 años) ,"23,61",25
Porcentaje de estudiantes extranjeros de doctorado ,"34,21",40
Número de profesores extranjeros ,197,230
Porcentaje de titulaciones de máster impartidas en inglés ,10,20
Porcentaje del campus señalizado en inglés , -- ,100
Número de proyectos europeos (investigación) concedidos ,7,15
Número de proyectos europeos de relaciones internacionales concedidos (entre paréntesis los coordinados) , 39 (8) , 45 (12) 
Número de investigadores que realizan estancias en el extranjero ,251,331
Número de investigadores procedentes de otras instituciones ,36,51
Plazas en residencias universitarias ,2221,2430
