Cargo ,Identificación,Perfil profesional
Presidente,D. Gregorio Vicente Jiménez López,Empresario
Consejera - secretaria,Da Virtudes Molina Espinar,Catedrática de instituto
Vocal,D. Francisco González Lodeiro,Rector de la Universidad de Granada
Vocal,Da Rossana González González,Secretaria General de la Universidad de Granada
Vocal,D. Andrés Navarro Galera,Gerente de la Universidad de Granada
Vocal,Da María del Mar Holgado Molina,"PDI -Profesora Titular de Universidad, Decana de la Facultad de Ciencias Económicas y Empresariales"
Vocal,D. Ramón Ricardo Rosas Romera,Alumno
Vocal,D. José Antonio López Fernández,P.A.S. -Responsable de Área de los Servicios Jurídicos
Vocal,D. Luis González Ruiz,
Vocal,Da Mercedes Mol de Miguel,
Vocal,D. Antonio Romero Romero,
Vocal,Da Carmen Solera Albero,
Vocal,D. Adolfo Machado de la Quintana,Pte. Grupo de Empresas Radio Granada
Vocal,Da Concepción González Insúa,Empresaria. Presidenta de la Asociación Granadina de Mujeres Empresarias
Vocal,D. Javier de Teresa Galván,Médico. Presidente del Colegio Oficial de Médicos de Granada
Vocal,Da Soledad López Fernández,Inspectora de Trabajo
Vocal,Da María José López González,"Directora General de CETURSA Sierra Nevada, S.A."
Vocal,D. José María Rosales de Angulo,Abogado
Vocal,D. Javier Jiménez Ortiz,Empresario
Vocal,Da Manuela Martínez Jiménez,Secretaria General U.G.T Granada
Vocal,D. Ricardo Flores López,Secretario General CC.OO. Granada
Vocal,D. Gerardo Cuerva Valdivia,Empresario. Presidente de la Confederación Granadina de Empresarios
Vocal,Da Encarnación Ximénez de Cisneros Rebollo,Confederación Granadina de Empresarios
Vocal,D. Nicolás Chica Martín,Secretario General de Unión de Pequeños Agricultores y Ganaderos
Vocal,Da María Francés Barrientos,Ayuntamiento de Granada. Concejala de Comercio y Ocupación de Vía Pública
Vocal,D. Rafael Gil Bracero,Diputación Provincial de Granada. Alcalde de Pulianas
