Tipo,Denominación,Identificación,Perfil
Unipersonal,Rector,D. Francisco González Lodeiro,http://www.ugr.es/pages/gobierno/rector-magnifico-de-la-universidad-de-granada
Unipersonal,Secretaria General,D. Rossana González González,http://www.ugr.es/pages/gobierno/secretaria-general
Unipersonal,Gerente,Andrés Navarro Galera,http://www.ugr.es/pages/gobierno/gerente
Unipersonal,Vicerrector de Ordenación Académica y de Profesorado,D. Luis M. Jiménez del Barco Jaldo,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-de-ordenacion-academica-y-profesorado
Unipersonal,Vicerrectora de Extensión Universitaria y Deporte,D. María Elena Martín - Vivaldi Caballero,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-extension-universitaria-y-deporte
Unipersonal,Vicerrectora de Política Científica e Investigación,D. María Dolores Suárez Ortega,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-politica-cientifica-e-investigacion
Unipersonal,Vicerrectora de Estudiantes,D. Rosa María García Pérez,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-estudiantes
Unipersonal,Vicerrectora de Infraestructuras y Campus,D. Begoña Moreno Escobar,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-infraestructuras-y-campus
Unipersonal,Vicerrectora de Relaciones Internacionales y Cooperación al Desarrollo,D. Dorothy Kelly,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-relaciones-internacionales
Unipersonal,Vicerrector del Parque Tecnológico de Ciencias de la Salud,D. Ignacio Molina Pineda de las Infantas,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-del-parque-tecnologico-de-ciencias-de-la-salud
Unipersonal,Vicerrectora de Enseñanzas de Grado y Posgrado,D. Dolores Ferre Cano,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-enseaanzas-de-grado-y-posgrado
Unipersonal,Vicerrectora para la Garantía de Calidad,D. María José León Ferrero,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-para-la-garantia-de-la-calidad
Unipersonal,Delegado del Rector para el Campus de Melilla,Sebastián Sánchez Fernández,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-el-campus-de-melilla
Unipersonal,Delegado del Rector para las TIC,Jose Luis Verdegay Galdeano,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-las-tic
Unipersonal,"Delegado del Rector para la Transferencia, Innovación y Empresa",Jesús Chamorro Martínez,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-la-tranferencia-innovacion-y-empresa
Unipersonal,Delegado del Rector para la Calidad Ambiental y el Bienestar,Pedro Espinosa Hidalgo,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-la-calidad-ambiental-y-el-bienestar
Colegiados,Consejo Social,Grupo,http://consejosocial.ugr.es/
Colegiados,Consejo de Gobierno,Grupo,http://secretariageneral.ugr.es/pages/org_gobierno/consejo
Colegiados,Claustro universitario,Grupo,http://secretariageneral.ugr.es/pages/org_gobierno/claustro
Equipo amplio de Gobierno,Equipo amplio de Gobierno,Grupo,http://www.ugr.es/pages/gobierno/equipo-amplio-de-gobierno/!
