"Identificación","Perfil"
"PILAR ARANDA RAMÍREZ","Rectora - Presidenta del Consejo"
"PEDRO MERCADO PACHECO","Secretario General"
"MARÍA DEL MAR HOLGADO MOLINA","Gerente"
"PILAR CARRASCO CARRASCO","Vicerrectora de Personal Docente e Investigador"
"VÍCTOR MEDINA FLÓREZ","Vicerrector de Extensión Universitaria"
"ENRIQUE HERRERA VIEDMA","Vicerrector de Investigación y Transferencia"
"JOSÉ ANTONIO NARANJO RODRÍGUEZ","Vicerrector de Estudiantes y Empleabilidad"
"DOROTHY KELLY","Vicerrectora de Internacionalización"
"MARÍA LÓPEZ-JURADO ROMERO DE LA CRUZ","Vicerrectora de Docencia"
"TERESA ORTEGA LÓPEZ","Vicerrectora de Responsabilidad Social, Igualdad e Inclusión"
"BAJO MOLINA, MARÍA TERESA","Profesorado doctor con vinculación permanente a la Universidad"
"BUENO CAVANILLAS, AURORA","Profesorado doctor con vinculación permanente a la Universidad"
"CORZO FERNÁNDEZ, SUSANA","Profesorado doctor con vinculación permanente a la Universidad"
"CRUZ PIZARRO, LUIS","Profesorado doctor con vinculación permanente a la Universidad"
"DELGADO PADIAL, ANTONIO","Profesorado doctor con vinculación permanente a la Universidad"
"EXPÓSITO JIMÉNEZ, FRANCISCA","Profesorado doctor con vinculación permanente a la Universidad"
"GARCÍA RÍOS, MARÍA DEL CARMEN","Profesorado doctor con vinculación permanente a la Universidad"
"MARTÍNEZ RODRÍGUEZ, JUAN BAUTISTA","Profesorado doctor con vinculación permanente a la Universidad"
"MOLINA SORIANO, RAFAEL","Profesorado doctor con vinculación permanente a la Universidad"
"UREÑA ESPÁ, AURELIO","Profesorado doctor con vinculación permanente a la Universidad"
"VELILLA SÁNCHEZ, NICOLÁS","Profesorado doctor con vinculación permanente a la Universidad"
"CUESTA RICO, FRANCISCO","Resto de Personal Docente e Investigador"
"EL HOMRANI, MOHAMMED","Resto de Personal Docente e Investigador"
"FERNÁNDEZ JIMÉNEZ, CARMEN","Estudiantes"
"JURADO VIGIL, ARACELI","Estudiantes"
"MORA PALOMARES, AGUSTÍN","Estudiantes"
"ROBLES PÉREZ, SALVADOR","Estudiantes"
"TENEDOR TENEDOR, JAVIER","Estudiantes"
"LÓPEZ FERNÁNDEZ, JOSÉ ANTONIO","Personal de Administración y Servicios"
"PÉREZ PÉREZ, ANTONIA","Personal de Administración y Servicios"
"JOSE ANTONIO PÉREZ TAPIAS","Decano de la Facultad de Filosofí­a y Letras"
"ANTONIO RÍOS GUADIX","Decano de la Facultad de Ciencias"
"JAVIER VILLORIA PRIETO","Decano de la Facultad de Ciencias de la Educación"
"RAFAEL CANO GUERVÓS","Decano de la Facultad de Ciencias Económicas y Empresariales"
"MIGUEL OLMEDO CARDENETE","Decano de la Facultad de Derecho"
"ANA ISABEL DEL MORAL GARCÍA","Decana de la Facultad de Farmacia"
"JOAQUÍN FERNÁNDEZ VALDIVIA","Decanos de Facultad o Directores de Escuela"
"JUAN ANTONIO MARMOLEJO MARTÍN","Decanos de Facultad o Directores de Escuela"
"ÁNGEL RODRÍGUEZ MONGE","Decanos de Facultad o Directores de Escuela"
"INDALECIO SÁNCHEZ-MONTESINOS GARCÍA","Decanos de Facultad o Directores de Escuela"
"VACANTE","Decanos de Facultad o Directores de Escuela"
"RAMÓN CARMONA MARTOS","Directores y directoras de Departamento"
"FRANCISCO CONTRERAS CORTÉS","Directores y directoras de Departamento"
"ANDRÉS GONZÁLEZ CARMONA","Directores y directoras de Departamento"
"VACANTE","Directores y directoras de Departamento"
"VACANTE","Directores y directoras de Departamento"
"ANTONIO OSUNA CARRILLO DE ALBORNOZ","Director de Instituto Universitario de Investigación"
"JESÚS BANQUERI OZÁEZ","Miembros de la comunidad universitaria propuestos por la Rectora"
"ÓSCAR CORDÓN GARCÍA","Miembros de la comunidad universitaria propuestos por la Rectora"
"ROBERTO GÓMEZ AMATE","Miembros de la comunidad universitaria propuestos por la Rectora"
"CARMEN MARCO DE LA CALLE","Miembros de la comunidad universitaria propuestos por la Rectora"
"GORKA MARTÍN TERRÓN","Miembros de la comunidad universitaria propuestos por la Rectora"
"MARÍA TERESA POZO LLORENTE","Miembros de la comunidad universitaria propuestos por la Rectora"
"JAVIER DE TERESA GALVÁN","Miembros del Consejo Social no pertenecientes a la comunidad universitaria"
"VIRTUDES MOLINA ESPINAR","Miembros del Consejo Social no pertenecientes a la comunidad universitaria"
"VACANTE","Miembros del Consejo Social no pertenecientes a la comunidad universitaria"
"CONDE ANTEQUERA, JESÚS","Presidente del Comité de Empresa del PDI Laboral (SIN VOTO)"
"RAMOS TAPIA, INMACULADA","Vicesecretaria General (SIN VOTO)"
"MARTÍN SEGURA, JOSE AURELIANO","Presidente Comité de Empresa PDI-Ceuta (SIN VOTO)"
"MARTOS GARCÍA, JOSÉ LUIS","Presidente de la Junta de Personal del PAS Funcionario (SIN VOTO)"
"MUELAS GONZÁLEZ, FRANCISCO","Presidenta del Comité de Empresa del PAS Laboral (SIN VOTO)"
"PEÑA ANGULO, JUAN FCO.","Presidente de la Junta de PDI Funcionario (SIN VOTO)"
"SOLANO GALVIS, CÉSAR","Presidente Comité de Empresa PDI- Melilla (SIN VOTO)"
