"Identificación","Cargo","Asimilación","Perteneciente a"
"Pilar Aranda Ramí­rez","Rectora","Rectora","Rectorado"
"Marí­a Elena Morales Torres","Directora del Gabinete de la Rectora","RPT - PAS","Rectorado"
"Manuela Suárez Pinilla","Directora de Protocolo y Relaciones Institucionales","Directora de Secretariado","Rectorado"
"José Antonio Lorente Acosta","Asesor Especial para la Rectora","Sin remuneración","Rectorado"
"Pedro Mercado Pacheco","Secretario General","Vicerrector","Secretarí­a General"
"Inmaculada Ramos Tapia","Vicesecretaria General","Decana","Secretarí­a General"
"Celia Garcí­a Fernández","Directora del Área de Transparencia y Simplificación Administrativa","RPT - PAS","Secretarí­a General"
"Juan Luis Ruiz-Rico Dí­ez","Director de los Servicios Jurí­dicos","RPT - PAS","Secretarí­a General"
"José Ángel Ibáñez Zapata","Director de la Oficina de Gestión de la Comunicación","Decano","Secretarí­a General - Oficina de Gestión de la Documentación"
"José Gutiérrez Rodrí­guez","Subdirector de la Oficina de Gestión de la Comunicación","Director de Secretariado","Secretarí­a General - Oficina de Gestión de la Documentación"
"Marí­a Teresa Pozo Llorente","Directora de la Unidad de Calidad, Innovación y Prospectiva","Decana","Secretarí­a General - Unidad de Calidad, Innovación y Prospectiva"
"Aurora Inés del Rí­o Cabeza","Directora de la Oficina de Datos, Información y Prospectiva","Directora de Secretariado","Secretarí­a General - Unidad de Calidad, Innovación y Prospectiva"
"Mª Angustias Navarro Ruiz","Directora del Secretariado de Evaluación, Mejora y Acreditación de Tí­tulos y de Servicios","Directora de Secretariado","Secretarí­a General - Unidad de Calidad, Innovación y Prospectiva"
"J. Claudio Gil Reyes","Responsable Técnico del Área de Evaluación y Mejora de Servicios","Secretario Departamento","Secretarí­a General - Unidad de Calidad, Innovación y Prospectiva"
"Pedro Rubio Mercado","Responsable Técnico del Área de Seguimiento y Acreditación de Tí­tulos y Centros","Secretario Departamento","Secretarí­a General - Unidad de Calidad, Innovación y Prospectiva"
"Ví­ctor Medina Flórez","Vicerrector","Vicerrector","Vicerrectorado de Extensión Universitaria"
"Ricardo Anguita Cantero","Director del Centro de Cultura Contemporánea","Decano","Vicerrectorado de Extensión Universitaria - Centro de Cultura Contemporánea"
"Amalia Belén Mazuecos Sánchez","Directora del Área de Artes Visuales","Directora de Secretariado","Vicerrectorado de Extensión Universitaria - Centro de Cultura Contemporánea"
"Ana Isabel Garcí­a López","Directora de la Unidad de Cultura Cientí­fica","Director de Secretariado","Vicerrectorado de Extensión Universitaria - Área de Proyección Social"
"Ángel Garcí­a Roldán","Coordinador del Área de Recursos Expositivos","Secretario Departamento","Vicerrectorado de Extensión Universitaria - Área de Proyección Social"
"Pilar Núñez Delgado","Coordinador del Área de Recursos Didácticos","Secretario Departamento","Vicerrectorado de Extensión Universitaria - Área de Proyección Social"
"Antonio Collados Alcaide","Coordinador del Área de Recursos Gráficos y Edición","Secretario Departamento","Vicerrectorado de Extensión Universitaria - Área de Proyección Social"
"Jorge Alberto Durán Suárez","Director del Secretariado de Conservación y Restauración","Director de Secretariado","Vicerrectorado de Extensión Universitaria - Área de Patrimonio"
"Marí­a Luisa Bellido Gant","Directora del Secretariado de Bienes Culturales","Directora de Secretariado","Vicerrectorado de Extensión Universitaria - Área de Patrimonio"
"Óscar Barroso Fernández","Director del Centro Mediterráneo","Director de Secretariado","Vicerrectorado de Extensión Universitaria - Centro Mediterráneo"
"Mª Vanesa Martos Núñez","Subdirectora del Centro Mediterráneo","Vicedecana","Vicerrectorado de Extensión Universitaria - Centro Mediterráneo"
"Pedro Miguel Sánchez Castillo","Director del Herbario","Sin remuneración","Vicerrectorado de Extensión Universitaria - Herbario "
"José Antonio Naranjo Rodrí­guez","Vicerrector","Vicerrector","Vicerrectorado de Estudiantes y Empleabilidad"
"Josefa Marí­a González Pérez","Directora de la Unidad de Becas y Asistencia al Estudiante","Decana","Vicerrectorado de Estudiantes y Empleabilidad"
"Antonio Delgado Padial","Director de la Unidad de Orientación Profesional y Empleabilidad","Decano","Vicerrectorado de Estudiantes y Empleabilidad"
"Juan Luis Bení­tez Muñoz","Director de Orientación Académica","Director de Secretariado","Vicerrectorado de Estudiantes y Empleabilidad"
"Raquel Fuentes Garcí­a","Directora del Secretariado de Coordinación con Órganos de Representación y Gestión Estudiantil","Directora de Secretariado","Vicerrectorado de Estudiantes y Empleabilidad"
