Tipo,Denominación,Identificación,Perfil
Unipersonal,Rectora,Dª. Pilar Aranda Ramírez,http://www.ugr.es/pages/gobierno/rectoramagnificadelauniversidaddegranada
Unipersonal,Secretario General,D. Pedro Mercado Pacheco,http://secretariageneral.ugr.es/pages/secretaria-general
Unipersonal,Gerente,Dª. María del Mar Holgado Molina,http://www.ugr.es/pages/gobierno/gerente
Unipersonal,Vicerrectora de Docencia,Dª. María López Jurado,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-docencia
Unipersonal,Vicerrector de Investigación y Transferencia,Enrique Herrera Viedma,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-de-investigacion-y-trasnferencia
Unipersonal,Vicerrectora de Internacionalización,Dª. Dorothy Kelly,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-internacionalizacion
Unipersonal,Vicerrector de Estudiantes y Empleabilidad,D. José Antonio Naranjo Rodríguez,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-de-estudiantes-y-empleabilidad
Unipersonal,Vicerrectora de Personal Docente e Investigador,Dª. Pilar Carrasco Carrasco,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-personal-docente-e-investigador
Unipersonal,Vicerrector de Extensión Universitaria,D. Víctor Jesús Medina Flórez,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-de-extension-universitaria
Unipersonal,"Vicerrectora de Responsabilidad Social, Igualdad e Inclusión",Dª. Teresa Ortega López,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-responsabilidad-social-igualdad-e-inclusion
Unipersonal,Delegado de la Rectora para la Universidad Digital,Óscar Cordón García,http://www.ugr.es/pages/gobierno/delegaciones/digital
Colegiados,Consejo Social,Grupo,http://consejosocial.ugr.es/
Colegiados,Consejo de Gobierno,Grupo,http://secretariageneral.ugr.es/pages/org_gobierno/consejo
Colegiados,Claustro universitario,Grupo,http://secretariageneral.ugr.es/pages/org_gobierno/claustro
Equipo amplio de Gobierno,Equipo amplio de Gobierno,Grupo,http://www.ugr.es/~gabcomunicacion/EquipodeGobiernoAmplioUGR.pdf
