Tipo,Denominación,Identificación,Perfil
Unipersonal,Rector,D. Francisco González Lodeiro,http://www.ugr.es/pages/gobierno/rector-magnifico-de-la-universidad-de-granada
Unipersonal,Secretaria General,Dª. Rossana González González,http://www.ugr.es/pages/gobierno/secretaria-general
Unipersonal,Gerente,Andrés Navarro Galera,http://www.ugr.es/pages/gobierno/gerente
Unipersonal,Vicerrectores/as,,http://www.ugr.es/pages/gobierno/vicerrectores
,Vicerrector de Ordenación Académica y de Profesorado,D. Luis M. Jiménez del Barco Jaldo,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-de-ordenacion-academica-y-profesorado
,Vicerrectora de Extensión Universitaria y Deporte,Dª. María Elena Martín - Vivaldi Caballero,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-extension-universitaria-y-deporte
,Vicerrectora de Política Científica e Investigación,Dª. María Dolores Suárez Ortega,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-politica-cientifica-e-investigacion
,Vicerrectora de Estudiantes,Dª. Rosa María García Pérez,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-estudiantes
,Vicerrectora de Infraestructuras y Campus,Dª. Begoña Moreno Escobar,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-infraestructuras-y-campus
,Vicerrectora de Relaciones Internacionales y Cooperación al Desarrollo,Dª. Dorothy Kelly,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-relaciones-internacionales
,Vicerrector del Parque Tecnológico de Ciencias de la Salud,D. Ignacio Molina Pineda de las Infantas,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrector-del-parque-tecnologico-de-ciencias-de-la-salud
,Vicerrectora de Enseñanzas de Grado y Posgrado,Dª. Dolores Ferre Cano,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-de-enseaanzas-de-grado-y-posgrado
,Vicerrectora para la Garantía de Calidad,Dª. María José León Ferrero,http://www.ugr.es/pages/gobierno/vicerrectores/vicerrectora-para-la-garantia-de-la-calidad
Unipersonal,Delegados del Rector,,http://www.ugr.es/pages/gobierno/delegados
,Delegado del Rector para el Campus de Melilla,Sebastián Sánchez Fernández,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-el-campus-de-melilla
,Delegado del Rector para las TIC,Jose Luis Verdegay Galdeano,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-las-tic
,"Delegado del Rector para la Transferencia, Innovación y Empresa",Jesús Chamorro Martínez,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-la-tranferencia-innovacion-y-empresa
,Delegado del Rector para la Calidad Ambiental y el Bienestar,Pedro Espinosa Hidalgo,http://www.ugr.es/pages/gobierno/delegados/delegado-del-rector-para-la-calidad-ambiental-y-el-bienestar
Colegiados,Consejo Social,,http://consejosocial.ugr.es/
Colegiados,Consejo de Gobierno,,http://secretariageneral.ugr.es/pages/org_gobierno/consejo
Colegiados,Claustro universitario,,http://secretariageneral.ugr.es/pages/org_gobierno/claustro
Equipo amplio de Gobierno,Equipo amplio de Gobierno,,http://www.ugr.es/pages/gobierno/equipo-amplio-de-gobierno/!
