RAMAS,TITULACIÓN,Hombres,Mujeres
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,299,420
ARTES Y HUMANIDADES,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,33,104
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS,52,54
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,46,132
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,147,278
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA CLÁSICA,34,66
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA HISPÁNICA,254,151
ARTES Y HUMANIDADES,GRADO EN FILOSOFÍA,125,62
ARTES Y HUMANIDADES,GRADO EN HISTORIA,301,119
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,118,236
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA,105,74
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,155,153
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,44,55
ARTES Y HUMANIDADES,GRADO EN TRADUCCIÓN E INTERPRETACIÓN,390,662
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,46,100
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,217,335
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ÁRABE,11,28
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA CLÁSICA,21,25
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ESLAVA,10,14
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA FRANCESA,26,50
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HISPÁNICA,103,131
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA INGLESA,117,246
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ITALIANA,1,2
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ROMÁNICA,2,6
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFÍA,99,47
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFÍA,51,22
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,220,108
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,102,175
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,33,27
ARTES Y HUMANIDADES,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,14,22
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,150,459
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADÍSTICA,10,16
CIENCIAS EXPERIMENTALES,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,21,58
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,41,78
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGÍA,346,365
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUÍMICA,55,83
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,37,80
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,243,133
CIENCIAS EXPERIMENTALES,GRADO EN ESTADÍSTICA,59,47
CIENCIAS EXPERIMENTALES,GRADO EN FÍSICA,208,54
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGÍA,120,53
CIENCIAS EXPERIMENTALES,GRADO EN MATEMÁTICAS,150,116
CIENCIAS EXPERIMENTALES,GRADO EN ÓPTICA Y OPTOMETRÍA,109,230
