TIPO DE ENSEÑANZAS,NUMERO ESTUDIANTES MATRICULADOS
,
TÍTULOS PROPIOS,
,
MÁSTERES PROPIOS,
ARTES Y HUMANIDADES,32
CC. DE LA SALUD,211
CC. SOCIALES Y JURÍDICAS,352
TOTAL,595
DIPLOMAS DE ESPECIALIZACIÓN / EXPERTOS PROPIOS,
CC. DE LA SALUD,59
CC. SOCIALES Y JURÍDICAS,87
TOTAL,146
DIPLOMAS,
ARTES Y HUMANIDADES,479
CC. DE LA SALUD,26
CC. SOCIALES Y JURÍDICAS,71
CIENCIAS,61
INGENIERÍA Y ARQUITECTURA,71
TOTAL,708
ITINERARIOS CURRICULARES,
I. CURRICULAR CONCRETO GRADO EN INGENIERÍA INFORMÁTICA,4
TOTAL TÍTULOS PROPIOS,1453
,
IDIOMAS (CENTRO DE LENGUAS MODERNAS),
,
SECCIÓN DE ESPAÑOL PARA EXTRANJEROS,3744
SECCIÓN DE LENGUAS EXTRANJERAS,2065
TOTAL,5809
,
ENSEÑANZAS VIRTUALES,
,
EN ASIGNATURAS DE GRADOS,33381
ASIGNATURAS EN MÁSTERES OFICIALES,283
CURSOS MASIVOS EN LÍNEA (MOOC),11473
CURSOS DE FORMACIÓN A LA COMUNIDAD UNIVERSITARIA,111
CURSOS EN COLABORACIÓN CON LA ESCUELA INTERNACIONAL DE POSGRADO,224
CURSOS EN COLABORACIÓN CON LA FUNDACIÓN GENERAL DE LA UNIVERSIDAD,1101
TOTAL,46573
,
ESTUDIOS UNIVERSITARIOS PARA MAYORES,
,
GRANADA,559
BAZA,64
GUADIX,54
MOTRIL,60
CEUTA,55
MELILLA,26
TOTAL,818
,
CURSOS DE VERANO,
,
CENTRO MEDITERRÁNEO,1008
CURSOS DE CEUTA,200
CURSOS DE MELILLA,200
TOTAL,1408
