,2014-2015,2015-2016
ALUMNOS MATRICULADOS EN UN PROGRAMA DE DOCTORADO ,1414,2159
ALUMNOS DE NUEVO INGRESO,790,991
DEL TOTAL SON EXTRANJEROS,340,580
ALUMNOS CON DEDICACIÓN A TIEMPO REDUCIDO,2,9
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD EXTRANJERA,271,377
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD ESPAÑOLA DISTINTA A LA UGR,327,558
,,
DOCTORADO (RD 56/2005 Y RD 1393/2007 - PLANES A EXTINGUIR,,
ALUMNOS MATRICULADOS EN UN PROGRAMA DE DOCTORADO ,1380,1063
ALUMNOS DE NUEVO INGRESO,14,5
DEL TOTAL SON EXTRANJEROS,375,295
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD EXTRANJERA,279,227
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD ESPAÑOLA DISTINTA A LA UGR,234,185
,,
PROGRAMAS DE DOCTORADO (RD 1778/98 - PLANES A EXTINGUIR) ,,
TOTAL DE ALUMNOS MATRICULADOS,523,397
DE ELLOS MATRICULADOS EN INVESTIGACIÓN TUTELADA,16,
DE ELLOS MATRICULADOS EN EL PLAN DE TRABAJO,507,
DEL TOTAL SON EXTRANJEROS,163,135
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD EXTRANJERA,154,133
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD ESPAÑOLA DISTINTA A LA UGR,93,69
,,
TESIS DOCTORALES,,
TESIS DEPOSITADAS (DEL 1/10/2014 AL 31/05/2015),275,TESIS DEPOSITADAS (DEL 1/10/2015 AL 31/05/2016)  675
TESIS LEÍDAS,270,653
CON DOCTORADO INTERNACIONAL,110,147
,,
MÁSTERES OFICIALES,,
ALUMNOS MATRICULADOS EN UN MÁSTER,3712,4471
ALUMNOS DE NUEVO INGRESO,2986,3659
DEL TOTAL SON EXTRANJEROS,489,643
ALUMNOS CON DEDICACIÓN A TIEMPO REDUCIDO,68,232
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD EXTRANJERA,409,569
DEL TOTAL SON TITULADOS EN UNA UNIVERSIDAD ESPAÑOLA DISTINTA A LA UGR,1189,1526
