"Tipo de beca","Becario / sin beca","Frecuencia","Porcentaje","Porcentaje válido","Porcentaje acumulado"
"Becas de ayuda al estudio (Ministerio, Conserjerí­as...)","Sí","1674","50,2702702703","50,2702702703","50,2702702703"
"Becas de ayuda al estudio (Ministerio, Conserjerí­as...)","No","1656","49,7297297297","49,7297297297","100"
"Becas de colaboración en departamentos universitarios","Sí","180","5,4054054054","5,4054054054","5,4054054054"
"Becas de colaboración en departamentos universitarios","No","3150","94,5945945946","94,5945945946","100"
"Sin beca","Sí","1290","38,7387387387","38,7387387387","38,7387387387"
"Sin beca","No","2040","61,2612612613","61,2612612613","100"
"Otras becas públicas (comedores o similar)","Sí","251","7,5375375375","7,5375375375","7,5375375375"
"Otras becas públicas (comedores o similar)","No","3079","92,4624624625","92,4624624625","100"
"Otras becas y ayudas","Sí","383","11,5015015015","11,5015015015","11,5015015015"
"Otras becas y ayudas","No","2947","88,4984984985","88,4984984985","100"
