"Programa","Subprograma","País","Recibidos 2014/15","Enviados 2014/15","Enviados movilidad ejecutada 2014/15"
"Programa PAP - Erasmus","PAP - Erasmus","Alemania",315,160,155
"Programa PAP - Erasmus","PAP - Erasmus","Austria",48,28,24
"Programa PAP - Erasmus","PAP - Erasmus","Bélgica",98,69,69
"Programa PAP - Erasmus","PAP - Erasmus","Bulgaria",20,21,17
"Programa PAP - Erasmus","PAP - Erasmus","Chipre",8,2,1
"Programa PAP - Erasmus","PAP - Erasmus","Croacia",0,5,5
"Programa PAP - Erasmus","PAP - Erasmus","Dinamarca",16,8,7
"Programa PAP - Erasmus","PAP - Erasmus","Eslovaquia",14,12,12
"Programa PAP - Erasmus","PAP - Erasmus","Eslovenia",9,6,4
"Programa PAP - Erasmus","PAP - Erasmus","Estonia",8,3,3
"Programa PAP - Erasmus","PAP - Erasmus","Finlandia",28,24,24
"Programa PAP - Erasmus","PAP - Erasmus","Francia",292,225,211
"Programa PAP - Erasmus","PAP - Erasmus","Grecia",40,20,18
"Programa PAP - Erasmus","PAP - Erasmus","Hungría",7,20,14
"Programa PAP - Erasmus","PAP - Erasmus","Irlanda",25,37,35
"Programa PAP - Erasmus","PAP - Erasmus","Islandia",2,0,0
"Programa PAP - Erasmus","PAP - Erasmus","Italia",469,441,414
"Programa PAP - Erasmus","PAP - Erasmus","Letonia",1,9,8
"Programa PAP - Erasmus","PAP - Erasmus","Lituania",5,17,17
"Programa PAP - Erasmus","PAP - Erasmus","Malta",2,0,0
"Programa PAP - Erasmus","PAP - Erasmus","Noruega",8,15,14
"Programa PAP - Erasmus","PAP - Erasmus","Países Bajos",38,25,23
"Programa PAP - Erasmus","PAP - Erasmus","Polonia",122,117,109
"Programa PAP - Erasmus","PAP - Erasmus","Portugal",74,121,112
"Programa PAP - Erasmus","PAP - Erasmus","Reino Unido",169,137,133
"Programa PAP - Erasmus","PAP - Erasmus","República Checa",45,51,49
"Programa PAP - Erasmus","PAP - Erasmus","Rumanía",18,14,13
"Programa PAP - Erasmus","PAP - Erasmus","Suecia",4,14,13
"Programa PAP - Erasmus","PAP - Erasmus","Suiza",36,21,16
"Programa PAP - Erasmus","PAP - Erasmus","Turquía",34,25,22
"Programa PAP - Erasmus","PAP - Erasmus","Sin datos",0,0,0
"Programa Propio","PAP - Erasmus","EEUU y Canadá",82,44,35
"Programa Propio","PAP - Erasmus","Latinoamérica",234,153,111
"Programa Propio","PAP - Erasmus","Europa Central y del Este",25,12,11
"Programa Propio","PAP - Erasmus","Países Árabes y del Mediterráneo",1,12,7
"Programa Propio","PAP - Erasmus","Australia y Oceanía",13,11,8
"Programa Propio","PAP - Erasmus","Asia",24,16,15
"Programa Propio","Programa Movilidad Doctorado","Alemania","Sin datos",8,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Argentina","Sin datos",2,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Australia","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Austria","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Belgica","Sin datos",3,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Brasil","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Canadá","Sin datos",2,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Chile","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Colombia","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Corea del Sur","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Costa Rica","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Dinamarca","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Ecuador","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Eslovaquia","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Estados Unidos","Sin datos",14,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Estonia","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Francia","Sin datos",15,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Grecia","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Israel","Sin datos",2,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Italia","Sin datos",24,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Jamaica","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Japón","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Marruecos","Sin datos",1,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","México","Sin datos",2,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Países Bajos","Sin datos",9,"Sin datos"
"Programa Propio","Programa Movilidad Doctorado","Polonia","Sin datos",1,"Sin datos"
