"Concepto","Valoración 1-5","Frecuencia","Porcentaje","Porcentaje válido","Porcentaje acumulado"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar estudios)",1,649,"19,4894894895","32,160555005","32,160555005"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar estudios)",2,291,"8,7387387387","14,4202180377","46,5807730426"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar estudios)",3,378,"11,3513513514","18,7314172448","65,3121902874"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar estudios)",4,379,"11,3813813814","18,7809712587","84,0931615461"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar estudios)",5,321,"9,6396396396","15,9068384539",100
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",1,393,"11,8018018018","19,4747274529","19,4747274529"
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",2,151,"4,5345345345","7,4826560951","26,9573835481"
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",3,241,"7,2372372372","11,9425173439","38,899900892"
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",4,371,"11,1411411411","18,3845391477","57,2844400396"
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",5,862,"25,8858858859","42,7155599604",100
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",1,322,"9,6696696697","15,9563924678","15,9563924678"
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",2,129,"3,8738738739","6,3924677899","22,3488602577"
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",3,206,"6,1861861862","10,2081268583","32,556987116"
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",4,322,"9,6696696697","15,9563924678","48,5133795837"
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",5,1039,"31,2012012012","51,4866204163",100
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",1,611,"18,3483483483","18,3483483483","18,3483483483"
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",2,830,"24,9249249249","24,9249249249","43,2732732733"
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",3,1091,"32,7627627628","32,7627627628","76,036036036"
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",4,617,"18,5285285285","18,5285285285","94,5645645646"
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",5,181,"5,4354354354","5,4354354354",100
"Valoración de estudios en relación con el empleo (Especialización)",1,569,"17,0870870871","17,0870870871","17,0870870871"
"Valoración de estudios en relación con el empleo (Especialización)",2,832,"24,984984985","24,984984985","42,0720720721"
"Valoración de estudios en relación con el empleo (Especialización)",3,1035,"31,0810810811","31,0810810811","73,1531531532"
"Valoración de estudios en relación con el empleo (Especialización)",4,665,"19,96996997","19,96996997","93,1231231231"
"Valoración de estudios en relación con el empleo (Especialización)",5,229,"6,8768768769","6,8768768769",100
"Valoración de estudios en relación con el empleo (Formación complementaria)",1,552,"16,5765765766","16,5765765766","16,5765765766"
"Valoración de estudios en relación con el empleo (Formación complementaria)",2,948,"28,4684684685","28,4684684685","45,045045045"
"Valoración de estudios en relación con el empleo (Formación complementaria)",3,1069,"32,1021021021","32,1021021021","77,1471471471"
"Valoración de estudios en relación con el empleo (Formación complementaria)",4,568,"17,0570570571","17,0570570571","94,2042042042"
"Valoración de estudios en relación con el empleo (Formación complementaria)",5,193,"5,7957957958","5,7957957958",100
"Valoración de estudios en relación con el empleo (Formación en idiomas)",1,1767,"53,0630630631","53,0630630631","53,0630630631"
"Valoración de estudios en relación con el empleo (Formación en idiomas)",2,730,"21,9219219219","21,9219219219","74,984984985"
"Valoración de estudios en relación con el empleo (Formación en idiomas)",3,424,"12,7327327327","12,7327327327","87,7177177177"
"Valoración de estudios en relación con el empleo (Formación en idiomas)",4,215,"6,4564564565","6,4564564565","94,1741741742"
"Valoración de estudios en relación con el empleo (Formación en idiomas)",5,194,"5,8258258258","5,8258258258",100
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",1,2053,"61,6516516517","61,6516516517","61,6516516517"
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",2,778,"23,3633633634","23,3633633634","85,015015015"
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",3,337,"10,1201201201","10,1201201201","95,1351351351"
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",4,118,"3,5435435435","3,5435435435","98,6786786787"
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",5,44,"1,3213213213","1,3213213213",100
