"Concepto","Válido","Perdidos","Media","Error estándar de la media","Desviación estándar","Mínimo","Máximo"
"Adecuación del empleo a los estudios realizados (Situación laboral actual coincide con expectativas al iniciar el Máster)",1073,525,"3,02",",046","1,492",1,5
"Adecuación del empleo a los estudios realizados (Formación académica requisito indispensable para acceder a trabajo actual)",1073,525,"3,59",",047","1,552",1,5
"Adecuación del empleo a los estudios realizados (Tareas que desarrollo requieren una formación universitaria)",1073,525,"4,37",",036","1,195",1,5
"Razones de la aceptación del empleo actual (No he encontrado empleo más adecuado)",1073,525,"2,47",",047","1,548",1,5
"Razones de la aceptación del empleo actual (No he encontrado empleo más adecuado)",1073,525,"2,47",",047","1,548",1,5
"Razones de la aceptación del empleo actual (Mejores expectativas profesionales)",1073,525,"3,42",",041","1,330",1,5
"Razones de la aceptación del empleo actual (Prefiero trabajo no relacionado con los estudios)",1073,525,"1,82",",036","1,191",1,5
"Razones de la aceptación del empleo actual (Ascenso a categoría menos relacionada con estudios)",1073,525,"2,58",",046","1,515",1,5
"Razones de la aceptación del empleo actual (Me ofrece seguridad)",1073,525,"2,85",",044","1,456",1,5
"Razones de la aceptación del empleo actual (Me ofrece mayores ingresos)",1073,525,"2,68",",044","1,448",1,5
"Razones de la aceptación del empleo actual (Es muy interesante)",1073,525,"3,88",",037","1,215",1,5
"Razones de la aceptación del empleo actual (Jornada laboral flexible)",1073,525,"3,12",",044","1,431",1,5
"Razones de la aceptación del empleo actual (Puedo vivir en localidad que prefiero)",1073,525,"3,14",",046","1,516",1,5
"Razones de la aceptación del empleo actual (Me permite atender obligaciones personales/familiares)",1073,525,"3,11",",045","1,465",1,5
"Valoración de estudios en relación con el empleo (Adaptación de los contenidos a las exigencias laborales)",1598,0,"2,81",",031","1,237",1,5
"Valoración de estudios en relación con el empleo (Especialización)",1598,0,"3,22",",032","1,260",1,5
"Valoración de estudios en relación con el empleo (Formación complementaria)",1598,0,"3,04",",031","1,245",1,5
"Valoración de estudios en relación con el empleo (Formación en idiomas)",1598,0,"2,05",",031","1,249",1,5
"Valoración de estudios en relación con el empleo (Ayuda desde la Universidad en la inserción laboral)",1598,0,"1,73",",027","1,065",1,5
