PAÍS DE ORIGEN,HOMBRES,MUJERES,TOTALES
AFGANISTÁN,0,1,1
ALBANIA,1,6,7
ALEMANIA,157,315,472
ANDORRA,4,10,14
ANGOLA,2,0,2
ANTIGUA Y BARBUDA,0,1,1
ARGELIA,4,7,11
ARGENTINA,82,122,204
ARMENIA,1,5,6
AUSTRALIA,8,11,19
AUSTRIA,19,31,50
AZERBAIYÁN,1,0,1
BARBADOS,1,0,1
BAHREÍN,1,0,1
BIELORRUSIA,2,10,12
BOLIVIA,14,22,36
BOSNIA Y HERZEGOVINA,0,1,1
BRASIL,37,64,101
BULGARIA,15,18,33
BÉLGICA,34,62,96
CABO VERDE,0,1,1
CANADÁ,4,12,16
CHECOSLOVAQUIA,0,1,1
CHILE,20,56,76
CHINA (REP. POPULAR),14,78,92
CHIPRE,3,6,9
COLOMBIA,56,84,140
COREA DEL SUR,3,7,10
COSTA DE MARFIL,1,0,1
COSTA RICA,1,2,3
CUBA,4,9,13
DINAMARCA,5,12,17
ECUADOR,39,51,90
EE. UU. DE AMÉRICA,43,124,167
EGIPTO,2,5,7
EL SALVADOR,1,1,2
ESLOVAQUIA,9,33,42
ESLOVENIA,2,5,7
ESTONIA,0,5,5
FILIPINAS,1,0,1
FINLANDIA,4,24,28
FRANCIA,100,252,352
GEORGIA,0,2,2
GHANA,1,0,1
GIBRALTAR,1,3,4
GRECIA,11,30,41
GRENADA,1,0,1
GUATEMALA,2,8,10
GUINEA (REPÚBLICA),0,1,1
GUINEA BISSAU,1,0,1
GUINEA ECUATORIAL,6,8,14
HOLANDA (PAÍSES BAJOS),16,49,65
HONDURAS,5,8,13
HUNGRÍA,5,6,11
INDIA,0,1,1
IRAK,0,1,1
IRLANDA (EIRE),5,20,25
IRÁN,2,1,3
ISLANDIA,0,2,2
ISRAEL,1,0,1
ITALIA,202,328,530
JAMAICA,0,1,1
JAPÓN,4,7,11
JORDANIA,0,1,1
KAZAJISTÁN,0,4,4
KENIA,0,1,1
KOSOVO,0,1,1
LETONIA,0,2,2
LITUANIA,4,14,18
LUXEMBURGO,1,0,1
LÍBANO,1,1,2
MALASIA,0,2,2
MALTA,0,1,1
MARRUECOS,282,353,635
MAURITANIA,0,1,1
MOLDAVIA,4,8,12
MÉXICO,66,137,203
NICARAGUA,2,1,3
NORUEGA,2,9,11
PAKISTÁN,0,2,2
PANAMÁ,1,3,4
PARAGUAY,1,5,6
PERÚ,19,18,37
POLONIA,19,106,125
PORTUGAL,24,48,72
PUERTO RICO,9,39,48
QATAR,0,1,1
REINO UNIDO,67,164,231
REP. DOMINICANA,5,10,15
REP. MALGACHE (MADAGASCAR),0,1,1
REPUB. SUDAFRICANA,0,1,1
REPÚBLICA CHECA,7,40,47
RUMANÍA,29,86,115
RUSIA,17,64,81
SAHARA,7,2,9
SARAWAK (MALASIA),0,1,1
SENEGAL,3,2,5
SERBIA,1,4,5
SINGAPUR,1,0,1
SIRIA,6,2,8
SUECIA,6,6,12
SUIZA,31,54,85
TAIWÁN,1,0,1
TANZANIA (TANGANICA),1,0,1
TURKMENISTÁN,0,1,1
TURQUÍA,12,15,27
TÚNEZ,0,2,2
UCRANIA,11,39,50
URUGUAY,6,15,21
UZBEKISTÁN,1,1,2
VENEZUELA,19,34,53
VIETNAM,0,1,1
DESCONOCIDO/SIN ESPECIFICAR,310,417,727
TOTALES ,1934,3650,5584
