PROVINCIA ,HOMBRES,MUJERES,TOTALES
ÁVILA,4,10,14
A CORUÑA,27,49,76
ALBACETE,61,93,154
ALICANTE,122,208,330
ALMERÍA,1081,1585,2666
ARABA/ÁLAVA,20,29,49
ASTURIAS,19,28,47
BADAJOZ,124,196,320
BARCELONA,180,271,451
BIZKAIA,24,34,58
BURGOS,14,12,26
CANTABRIA,8,17,25
CASTELLÓN,3,20,23
CEUTA,342,519,861
CIUDAD REAL,205,350,555
CUENCA,11,22,33
CÁCERES,46,54,100
CÁDIZ,793,1118,1911
CÓRDOBA,865,1223,2088
GIPUZKOA,15,28,43
GIRONA,37,59,96
GRANADA,9946,12495,22441
GUADALAJARA,4,11,15
HUELVA,151,179,330
HUESCA,6,15,21
ILLES BALEARS,111,221,332
JAÉN,1578,2183,3761
LA RIOJA,8,12,20
LAS PALMAS,142,235,377
LEÓN,19,17,36
LLEIDA,15,18,33
LUGO,5,6,11
MADRID,165,267,432
MELILLA,384,636,1020
MURCIA,244,356,600
MÁLAGA,1246,1534,2780
NAVARRA,19,38,57
OURENSE,5,6,11
PALENCIA,4,1,5
PONTEVEDRA,18,18,36
SALAMANCA,8,21,29
SANTA CRUZ DE TENERIFE,71,120,191
SEGOVIA,8,3,11
SEVILLA,253,429,682
SORIA,4,2,6
TARRAGONA,14,27,41
TERUEL,4,14,18
TOLEDO,26,51,77
VALENCIA,38,77,115
VALLADOLID,15,18,33
ZAMORA,9,6,15
ZARAGOZA,24,33,57
TOTALES,18545,24974,43519
