ORIGEN,HOMBRE,MUJER,TOTAL,.,ORIGEN,HOMBRE,MUJER,TOTAL
ÁLAVA,24,47,71,,ALBANIA,3,2,5
ALBACETE,61,97,158,,ALEMANIA,385,130,515
ALICANTE,172,247,419,,ANDORRA,8,14,22
ALMERÍA,1372,1906,3278,,ANGOLA,2,0,2
ASTURIAS,24,30,54,,ARGELIA,6,6,12
ÁVILA,5,6,11,,ARGENTINA,95,116,211
BADAJOZ,140,199,339,,ARMENIA,3,3,6
BALEARES,131,250,381,,AUSTRALIA,10,3,13
BARCELONA,247,340,587,,AUSTRIA,31,11,42
BURGOS,14,26,40,,BARBADOS,1,0,1
CÁCERES,57,63,120,,BÉLGICA,69,36,105
CÁDIZ,948,1200,2148,,BIELORUSIA,0,3,3
CANTABRIA,17,27,44,,BOLIVIA,16,10,26
CASTELLÓN,10,24,34,,BOSNIA Y HERZEGOVINA,2,1,3
CEUTA,408,609,1017,,BRASIL,59,29,88
CIUDAD REAL,215,353,568,,BULGARIA,21,9,30
CÓRDOBA,1016,1471,2487,,CABO VERDE,1,1,2
"CORUÑA, LA",24,33,57,,CANADÁ,20,2,22
CUENCA,17,27,44,,CHECOSLOVAQUIA,2,3,5
EXTRANJERO,17,17,34,,CHILE,48,17,65
GERONA,54,69,123,,CHINA (REP. POPULAR),19,39,58
GRANADA,10728,13556,24284,,CHIPRE,9,3,12
GUADALAJARA,5,16,21,,COLOMBIA,55,50,105
GUIPUZCUA,18,25,43,,CONGO(REP. POPULAR),1,0,1
HUELVA,156,179,335,,COREA DEL SUR,8,0,8
HUESCA,7,16,23,,COSTA DE MARFIL,0,1,1
JAÉN,1864,2542,4406,,COSTA RICA,0,1,1
LA RIOJA,11,17,28,,CROACIA,1,0,1
LEÓN,19,19,38,,CUBA,11,11,22
LERIDA,18,27,45,,DESCONOCIDO,12,4,16
LUGO,4,5,9,,DINAMARCA,12,3,15
MADRID,252,325,577,,DOMINICA,1,0,1
MÁLAGA,1493,1810,3303,,ECUADOR,33,42,75
MELILLA,451,708,1159,,EE. UU. DE AMERICA,168,16,184
MURCIA,329,427,756,,EGIPTO,1,1,2
NAVARRA,24,34,58,,EL SALVADOR,2,1,3
NINGUNA,400,196,596,,ESLOVAQUIA,21,24,45
ORENSE,5,6,11,,ESLOVENIA,4,0,4
PALENCIA,11,8,19,,ESTONIA,6,1,7
"PALMAS,LAS",168,232,400,,ETIOPÍA,1,0,1
PONTEVEDRA,24,20,44,,FILIPINAS,2,0,2
SALAMANCA,15,20,35,,FINLANDIA,26,5,31
SEGOVIA,4,5,9,,FRANCIA,246,107,353
SEVILLA,294,421,715,,GEORGIA,0,2,2
SORIA,6,6,12,,GHANA,2,0,2
STA. CRUZ DE TENERIFE,110,119,229,,GIBRALTAR,2,1,3
TARRAGONA,15,40,55,,GRECIA,41,4,45
TERUEL,6,10,16,,GUATEMALA,1,2,3
TOLEDO,30,48,78,,GUINEA BISSAU,1,0,1
VALENCIA,64,92,156,,GUINEA ECUATORIAL,9,6,15
VALLADOLID,22,25,47,,GUYANA (INGLESA),1,0,1
VIZCAYA,41,29,70,,HAITÍ,1,1,2
ZAMORA,5,5,10,,HOLANDA (PAISES BAJOS),46,11,57
ZARAGOZA,32,37,69,,HONDURAS,2,3,5
TOTALES,21604,28066,49670,,HUNGRIA,12,2,14
,,,,,INDIA,0,1,1
,,,,,INDONESIA,0,1,1
,,,,,IRAK,0,1,1
,,,,,IRLANDA (EIRE),20,4,24
,,,,,ISRAEL,7,0,7
,,,,,ITALIA,442,50,492
,,,,,JAPÓN,5,4,9
,,,,,JORDANIA,5,4,9
,,,,,KAZJASTÁN,1,1,2
,,,,,KENIA,0,2,2
,,,,,KIRGUISTÁN,3,0,3
,,,,,KUWAIT,1,0,1
,,,,,LETONIA,10,3,13
,,,,,LÍBANO,2,0,2
,,,,,LITUANIA,4,11,15
,,,,,LUXEMBURGO,4,1,5
,,,,,MACAO (CHINA),2,0,2
,,,,,MARRUECOS,309,447,756
,,,,,MÉXICO,136,15,151
,,,,,MOLDAVIA,5,4,9
,,,,,MÓNACO,1,0,1
,,,,,MOZAMBIQUE,2,1,3
,,,,,NICARAGUA,2,3,5
,,,,,NIGERIA,1,0,1
,,,,,NORUEGA,16,2,18
,,,,,NUEVA ZELANDA,1,0,1
,,,,,PAKISTÁN,0,2,2
,,,,,PALESTINA,1,0,1
,,,,,PARAGUAY,4,1,5
,,,,,PERÚ,29,14,43
,,,,,POLONIA,101,55,156
,,,,,PORTUGAL,43,5,48
,,,,,PUERTO RICO,15,1,16
,,,,,REINO UNIDO,163,65,228
,,,,,REP. DOMINICANA,2,6,8
,,,,,REP. MALGACHE (MADAGASC,1,0,1
,,,,,REPUB. SUDAFRICANA,0,1,1
,,,,,REPÚBLICA CHECA,36,15,51
,,,,,RUMANÍA,34,72,106
,,,,,RUSIA,1,2,3
,,,,,__RUSIA__ANTIGUO,33,37,70
,,,,,SAHARA,6,3,9
,,,,,SENEGAL,4,3,7
,,,,,SERBIA,3,0,3
,,,,,SIRIA,7,2,9
,,,,,SUDÁFRICA,1,0,1
,,,,,SUECIA,12,4,16
,,,,,SUIZA,55,48,103
,,,,,TAIWAN,1,0,1
,,,,,THAILANDIA,1,0,1
,,,,,TÚNEZ,1,0,1
,,,,,TURKMENISTÁN,0,2,2
,,,,,TURQUÍA,27,1,28
,,,,,UCRANIA,19,27,46
,,,,,URUGUAY,12,10,22
,,,,,VENEZUELA,28,34,62
,,,,,TOTALES,3158,1702,4860
