NACIONALIDAD ,HOMBRES,MUJERES,TOTAL
AFGANA ,,2,2
ALBANESA ,2,5,7
ALEMANA ,131,275,406
ANDORRANA ,2,1,3
ANGOLEÑA ,1, ,1
ARGELINA ,2,7,9
ARGENTINA ,20,38,58
ARMENIA ,1,4,5
AUSTRALIANA ,6,6,12
AUSTRIACA ,17,31,48
AZERBAIYANA ,1, ,1
BARBADENSE ,1, ,1
BELGA ,30,60,90
BIELORUSA ,  ,14,14
BOLIVIANA ,4,9,13
BRASILEÑA ,31,52,83
BRITÁNICA ,66,167,233
BURUNDIANA ,1,1,2
BÚLGARA ,15,17,32
CANADIENSE ,3,12,15
CHECA ,7,41,48
CHILENA ,16,47,63
CHINA ,21,75,96
CHIPRIOTA ,3,7,10
COLOMBIANA ,30,42,72
COREANA DEL SUR ,2,8,10
COSTAMARFILEÑA ,1, ,1
COSTARRICENSE ,  ,1,1
CROATA ,  ,2,2
CUBANA ,3,3,6
DANESA ,6,12,18
DOMINICANA ,2,1,3
ECUATOGUINEANA ,7,3,10
ECUATORIANA ,7,14,21
EGIPCIA ,2,4,6
ESLOVACA ,9,34,43
ESLOVENA ,2,5,7
ESPAÑOLA ,19126,25813,44939
ESTADOUNIDENSE ,42,134,176
ESTONIA ,  ,5,5
FILIPINA ,1, ,1
FINLANDESA ,5,26,31
FRANCESA ,85,231,316
GEORGIANA ,  ,2,2
GHANESA ,1, ,1
GRENADINA ,1, ,1
GRIEGA ,9,31,40
GUATEMALTECA ,1,5,6
GUINEANA (BISSAU) ,1, ,1
GUINEANA (REP) ,2,1,3
SALVADOREÑA ,1,,1
SENEGALESA ,1,1,2
SERBIA ,1,4,5
SIRIA ,6,1,7
SUECA ,7,6,13
SUIZA ,8,23,31
TOGOLESA ,1,,1
TUNECINA ,,1,1
TURCA ,13,13,26
UCRANIANA ,11,36,47
URUGUAYA ,3,5,8
UZBEKA ,,1,1
VENEZOLANA ,5,11,16
VIETNAMITA ,,1,1
TOTAL ,20479,28624,49103
