"Titulación","Rama de conocimiento","Centro","Campus"
"Biologí­a","Ciencias","Facultad de Ciencias","Fuentenueva"
"Bioquí­mica","Ciencias","Facultad de Ciencias","Fuentenueva"
"Biotecnología","Ciencias","Facultad de Ciencias","Fuentenueva"
"Ciencia y Tecnologí­a de los Alimentos","Ciencias","Facultad de Farmacia","Cartuja"
"Ciencias Ambientales","Ciencias","Facultad de Ciencias","Fuentenueva"
"Estadí­stica","Ciencias","Facultad de Ciencias","Fuentenueva"
"Fí­sica","Ciencias","Facultad de Ciencias","Fuentenueva"
"Geologí­a","Ciencias","Facultad de Ciencias","Fuentenueva"
"Ingenierí­a Informática y Matemáticas (doble grado)","Ciencias","E. T. S. de Ingenierí­as Informática y de Telecomunicación","Aynadamar"
"Matemáticas","Ciencias","Facultad de Ciencias","Fuentenueva"
"Óptica y Optometrí­a","Ciencias","Facultad de Ciencias","Fuentenueva"
"Quí­mica","Ciencias","Facultad de Ciencias","Fuentenueva"
"Administración y Dirección de Empresas","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Económicas y Empresariales / Facultad de Ciencias Sociales de Melilla / Facultad de Educación, Economí­a y Tecnologí­a de Ceuta","Cartuja"
"Administración y Dirección de Empresas y Derecho (doble grado)","Ciencias Sociales y Jurí­dicas","Facultad de Derecho / Facultad de Ciencias Económicas y Empresariales / Facultad de Ciencias Sociales de Melilla","Centro / Cartuja"
"Antropologí­a Social y Cultural","Ciencias Sociales y Jurí­dicas","Facultad de Filosofí­a y Letras","Cartuja"
"Ciencias de la Actividad Fí­sica y del Deporte","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias del Deporte","Cartuja"
"Ciencias Polí­ticas y de la Administración","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Polí­ticas y Sociologí­a","Centro"
"Comunicación Audiovisual","Ciencias Sociales y Jurí­dicas","Facultad de Comunicación y Documentación","Cartuja"
"Criminologí­a","Ciencias Sociales y Jurí­dicas","Facultad de Derecho","Centro"
"Derecho","Ciencias Sociales y Jurí­dicas","Facultad de Derecho","Centro"
"Ciencias Polí­ticas de la Administración y Derecho (doble grado)","Ciencias Sociales y Jurí­dicas","Facultad de Derecho / Facultad de Ciencias Polí­ticas y Sociologí­a","Centro"
"Economí­a","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Económicas y Empresariales","Cartuja"
"Maestro en Educación Infantil","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias de la Educación / Facultad de Educación, Economí­a y Tecnologí­a de Ceuta / Facultad de Educación y Humanidades de Melilla / Centro de Magisterio La Inmaculada","Cartuja"
"Maestro en Educación Primaria","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias de la Educación / Facultad de Educación, Economí­a y Tecnologí­a de Ceuta / Facultad de Educación y Humanidades de Melilla / Centro de Magisterio La Inmaculada","Cartuja"
"Educación Primaria y Ciencias de la Actividad Física y del Deporte (doble grado)","Ciencias Sociales y Jurídicas","Facultad de Educación y Humanidades","Melilla"
"Educación Social","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias de la Educación / Facultad de Educación, Economí­a y Tecnologí­a de Ceuta / Facultad de Educación y Humanidades de Melilla","Cartuja"
"Finanzas y Contabilidad","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Económicas y Empresariales","Cartuja"
"Geografí­a y Gestión del Territorio","Ciencias Sociales y Jurí­dicas","Facultad de Filosofí­a y Letras","Cartuja"
"Gestión y Administración Pública","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Sociales de Melilla","Melilla"
"Información y Documentación","Ciencias Sociales y Jurí­dicas","Facultad de Comunicación y Documentación","Cartuja"
"Marketing e Investigación de Mercados","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias Económicas y Empresariales","Cartuja"
"Pedagogí­a","Ciencias Sociales y Jurí­dicas","Facultad de Ciencias de la Educación","Cartuja"
