"Másteres Propios","Rama de conocimiento","Centro","Campus"
"MÁSTER PROPIO EN TÉCNICAS DE SUPERVIVENCIA EN LA NATURALEZA (5ª Edición)","ARTES Y HUMANIDADES","FACULTAD DE CIENCIAS DEL DEPORTE","CARTUJA"
"MÁSTER PROPIO EN DIRECCIÓN Y ADMINISTRACIÓN DE EMPRESAS TURÍSTICAS (10ª Edición)","CC. SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES","CARTUJA"
"MÁSTER PROPIO EN GENÓMICA Y GENÉTICA (1ª Edición)","CIENCIAS DE LA SALUD","VIRTUAL",""
"MÁSTER PROPIO VIRTUAL EN PRODUCTOS SANITARIOS (5ª Edición)","CIENCIAS DE LA SALUD","VIRTUAL",""
"MÁSTER PROPIO EN PRÁCTICA FARMACÉUTICA. SERVICIOS PROFESIONALES FARMACÉUTICOS ORIENTADOS AL PACIENTE Y A LA SALUD PÚBLICA. (1ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE FARMACIA",""
"MÁSTER PROPIO EN NUEVAS PERSPECTIVAS EN EL ÁMBITO DE LA ACTIVIDAD FÍSICA EN EL SIGLO XXI: LA PROMOCIÓN DE ESTILOS DE VIDA ACTIVOS (2ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","SALÓN DE GRADOS DE LA FACULTAD DE EDUCACIÓN Y HUMANIDADES DE MELILLA","MELILLA"
"MÁSTER PROPIO PARA LA ENSEÑANZA Y EL APRENDIZAJE DE LA LENGUA ESPAÑOLA Y SU CULTURA (11ª Edición)","ARTES Y HUMANIDADES","CENTRO DE LENGUAS MODERNAS",""
"MÁSTER PROPIO EN CLÍNICA ODONTOLÓGICA INTEGRAL AVANZADA (3ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
"MÁSTER PROPIO EN CIRUGÍA BUCAL E IMPLANTOLOGÍA. (9ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
"MÁSTER PROPIO EN ECONOMÍA DE LA SALUD Y DIRECCIÓN DE ORGANIZACIONES SANITARIAS (8ª Edición)","CIENCIAS DE LA SALUD","ESCUELA ANDALUZA DE SALUD PÚBLICA Y CAMPUS VIRTUAL EASP",""
"MÁSTER PROPIO EN ODONTOLOGÍA MULTIDISCIPLINAR ESTÉTICA (3ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
"MÁSTER EN GESTIÓN DE DESTINOS TURÍSTICOS (2ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","FUNDACIÓN-INSTITUTO EUROÁRABE DE EDUCACIÓN Y FORMACIÓN",""
"MÁSTER PROPIO EN DERECHO PENAL ECONÓMICO INTERNACIONAL (5ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","CURSO ON-LINE EN EL CAMPUS VIRTUAL UGR-IAEU",""
"MÁSTER PROPIO EN CLÍNICA ODONTOLÓGICA INTEGRAL AVANZADA (4ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
